weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
August 23-29 2013,Lee Daniels' The Butler,http://www.boxofficemojo.com/movies/?page=weekly&id=butler.htm,24008293,3110,59265106,30,2,2013
August 23-29 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,18711719,3445,96951918,37,3,2013
August 23-29 2013,The Mortal Instruments: City of Bones,http://www.boxofficemojo.com/movies/?page=weekly&id=mortalinstruments.htm,12702782,3118,17454184,60,1,2013
August 23-29 2013,Planes,http://www.boxofficemojo.com/movies/?page=weekly&id=planes.htm,12062975,3378,63087670,50,3,2013
August 23-29 2013,The World's End,http://www.boxofficemojo.com/movies/?page=weekly&id=worldsend.htm,11809234,1551,11809234,20,1,2013
August 23-29 2013,Elysium,http://www.boxofficemojo.com/movies/?page=weekly&id=elysium.htm,10149791,2913,72103729,115,3,2013
August 23-29 2013,You're Next,http://www.boxofficemojo.com/movies/?page=weekly&id=yourenext.htm,9339708,2437,9339708,0,1,2013
August 23-29 2013,Percy Jackson: Sea of Monsters,http://www.boxofficemojo.com/movies/?page=weekly&id=percyjackson2.htm,7393566,2730,50540019,90,3,2013
August 23-29 2013,Kick-Ass 2,http://www.boxofficemojo.com/movies/?page=weekly&id=kickass2.htm,6375910,2945,24529045,28,2,2013
August 23-29 2013,Blue Jasmine,http://www.boxofficemojo.com/movies/?page=weekly&id=bluejasmine.htm,5967666,1283,16466468,0,5,2013
August 23-29 2013,2 Guns,http://www.boxofficemojo.com/movies/?page=weekly&id=2guns.htm,4715735,1769,66709905,61,4,2013
August 23-29 2013,The Smurfs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=smurfs2.htm,4338118,1852,64154236,105,4,2013
August 23-29 2013,Jobs,http://www.boxofficemojo.com/movies/?page=weekly&id=jobs.htm,4121030,2381,13264320,12,2,2013
August 23-29 2013,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,3838370,1311,351938790,76,8,2013
August 23-29 2013,The Wolverine,http://www.boxofficemojo.com/movies/?page=weekly&id=wolverine2.htm,3513206,1449,126108882,120,5,2013
August 23-29 2013,The Conjuring,http://www.boxofficemojo.com/movies/?page=weekly&id=conjuring.htm,2862202,1355,132472910,20,6,2013
August 23-29 2013,Paranoia,http://www.boxofficemojo.com/movies/?page=weekly&id=paranoia.htm,1924422,2459,6861464,35,2,2013
August 23-29 2013,Grown Ups 2,http://www.boxofficemojo.com/movies/?page=weekly&id=grownups2.htm,1179526,620,129224157,80,7,2013
August 23-29 2013,The Spectacular Now,http://www.boxofficemojo.com/movies/?page=weekly&id=spectacularnow.htm,1057101,345,2342279,0,4,2013
August 23-29 2013,Turbo,http://www.boxofficemojo.com/movies/?page=weekly&id=turbo.htm,905480,470,79047483,135,6,2013
August 23-29 2013,The Heat,http://www.boxofficemojo.com/movies/?page=weekly&id=bullockmccarthy.htm,777779,409,156625657,43,9,2013
August 23-29 2013,Pacific Rim,http://www.boxofficemojo.com/movies/?page=weekly&id=pacificrim.htm,604692,260,99377051,190,7,2013
August 23-29 2013,The Way, Way Back,http://www.boxofficemojo.com/movies/?page=weekly&id=waywayback.htm,599630,302,18820573,0,8,2013
August 23-29 2013,Monsters University,http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc2.htm,582123,243,262002314,0,10,2013
August 23-29 2013,Chennai Express,http://www.boxofficemojo.com/movies/?page=weekly&id=chennaiexpress.htm,534945,143,4834795,0,3,2013
August 23-29 2013,Closed Circuit,http://www.boxofficemojo.com/movies/?page=weekly&id=closedcircuit.htm,511846,862,511846,0,-,2013
August 23-29 2013,Now You See Me,http://www.boxofficemojo.com/movies/?page=weekly&id=nowyouseeme.htm,501018,246,116597845,75,13,2013
August 23-29 2013,Red 2,http://www.boxofficemojo.com/movies/?page=weekly&id=red2.htm,487207,389,51746096,84,6,2013
August 23-29 2013,Man of Steel,http://www.boxofficemojo.com/movies/?page=weekly&id=superman2012.htm,484106,303,290360082,225,11,2013
August 23-29 2013,World War Z,http://www.boxofficemojo.com/movies/?page=weekly&id=worldwarz.htm,483810,239,199023831,190,10,2013
August 23-29 2013,Fruitvale Station,http://www.boxofficemojo.com/movies/?page=weekly&id=fruitvale.htm,424095,392,15333172,0,7,2013
August 23-29 2013,In a World,http://www.boxofficemojo.com/movies/?page=weekly&id=inaworld.htm,414685,75,863470,0,3,2013
August 23-29 2013,White House Down,http://www.boxofficemojo.com/movies/?page=weekly&id=whitehousedown.htm,369821,229,72529762,150,9,2013
August 23-29 2013,Iron Man 3,http://www.boxofficemojo.com/movies/?page=weekly&id=ironman3.htm,291981,173,408643923,200,17,2013
August 23-29 2013,R.I.P.D.,http://www.boxofficemojo.com/movies/?page=weekly&id=ripd.htm,278345,179,32803095,130,6,2013
August 23-29 2013,The Lone Ranger,http://www.boxofficemojo.com/movies/?page=weekly&id=loneranger.htm,264995,141,88066903,215,8,2013
August 23-29 2013,Blackfish,http://www.boxofficemojo.com/movies/?page=weekly&id=blackfish.htm,215306,99,1719508,0,6,2013
August 23-29 2013,The Grandmaster,http://www.boxofficemojo.com/movies/?page=weekly&id=grandmasters.htm,196044,7,196044,0,1,2013
August 23-29 2013,Austenland,http://www.boxofficemojo.com/movies/?page=weekly&id=austenland.htm,169874,22,229367,0,2,2013
August 23-29 2013,Star Trek Into Darkness,http://www.boxofficemojo.com/movies/?page=weekly&id=startrek12.htm,169322,144,227440810,190,15,2013
August 23-29 2013,20 Feet from Stardom,http://www.boxofficemojo.com/movies/?page=weekly&id=20feetfromstardom.htm,134483,70,4293711,0,11,2013
August 23-29 2013,Hubble 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=hubble3d.htm,109725,13,40151750,0,180,2013
August 23-29 2013,Epic,http://www.boxofficemojo.com/movies/?page=weekly&id=leafmen.htm,104686,115,107384027,100,14,2013
August 23-29 2013,Ain't Them Bodies Saints,http://www.boxofficemojo.com/movies/?page=weekly&id=aintthembodiessaints.htm,100005,28,140926,0,2,2013
August 23-29 2013,This is the End,http://www.boxofficemojo.com/movies/?page=weekly&id=rogenhilluntitled.htm,79957,38,96805354,32,11,2013
August 23-29 2013,Short Term 12,http://www.boxofficemojo.com/movies/?page=weekly&id=shortterm12.htm,76463,4,76463,0,1,2013
August 23-29 2013,Fast & Furious 6,http://www.boxofficemojo.com/movies/?page=weekly&id=fast6.htm,74015,98,238571890,160,14,2013
August 23-29 2013,The Croods,http://www.boxofficemojo.com/movies/?page=weekly&id=croods.htm,53503,69,187087070,135,23,2013
August 23-29 2013,The Attack,http://www.boxofficemojo.com/movies/?page=weekly&id=attack.htm,48247,17,1522802,0,10,2013
August 23-29 2013,Cutie and the Boxer,http://www.boxofficemojo.com/movies/?page=weekly&id=cutieandtheboxer.htm,45413,12,77811,0,2,2013
