weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
June 28-July 4 2013,Monsters University,http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc2.htm,71712184,3739,196537632,0,2,2013
June 28-July 4 2013,The Heat,http://www.boxofficemojo.com/movies/?page=weekly&id=bullockmccarthy.htm,61495288,3181,61495288,43,1,2013
June 28-July 4 2013,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,59557645,3956,59557645,76,-,2013
June 28-July 4 2013,World War Z,http://www.boxofficemojo.com/movies/?page=weekly&id=worldwarz.htm,46658381,3405,140580675,190,2,2013
June 28-July 4 2013,White House Down,http://www.boxofficemojo.com/movies/?page=weekly&id=whitehousedown.htm,37006763,3222,37006763,150,1,2013
June 28-July 4 2013,Man of Steel,http://www.boxofficemojo.com/movies/?page=weekly&id=superman2012.htm,31934047,2965,259774153,225,3,2013
June 28-July 4 2013,The Lone Ranger,http://www.boxofficemojo.com/movies/?page=weekly&id=loneranger.htm,19504161,3904,19504161,215,-,2013
June 28-July 4 2013,This is the End,http://www.boxofficemojo.com/movies/?page=weekly&id=rogenhilluntitled.htm,13823144,2104,79804153,32,3,2013
June 28-July 4 2013,Now You See Me,http://www.boxofficemojo.com/movies/?page=weekly&id=nowyouseeme.htm,8464821,1606,107645412,75,5,2013
June 28-July 4 2013,Kevin Hart: Let Me Explain,http://www.boxofficemojo.com/movies/?page=weekly&id=kevinhart2013.htm,7360704,876,7360704,0,-,2013
June 28-July 4 2013,Fast & Furious 6,http://www.boxofficemojo.com/movies/?page=weekly&id=fast6.htm,3512340,686,234415110,160,6,2013
June 28-July 4 2013,Star Trek Into Darkness,http://www.boxofficemojo.com/movies/?page=weekly&id=startrek12.htm,3293696,660,221754563,190,7,2013
June 28-July 4 2013,The Internship,http://www.boxofficemojo.com/movies/?page=weekly&id=internship.htm,2022717,367,42302803,58,4,2013
June 28-July 4 2013,Iron Man 3,http://www.boxofficemojo.com/movies/?page=weekly&id=ironman3.htm,1897263,294,405929319,200,9,2013
June 28-July 4 2013,The Purge,http://www.boxofficemojo.com/movies/?page=weekly&id=purge.htm,1667690,361,63230410,3,4,2013
June 28-July 4 2013,Epic,http://www.boxofficemojo.com/movies/?page=weekly&id=leafmen.htm,1341808,341,103531333,100,6,2013
June 28-July 4 2013,The Bling Ring,http://www.boxofficemojo.com/movies/?page=weekly&id=blingring.htm,1283812,159,4797116,0,3,2013
June 28-July 4 2013,Before Midnight,http://www.boxofficemojo.com/movies/?page=weekly&id=beforemidnight.htm,1020733,290,6098024,0,6,2013
June 28-July 4 2013,Much Ado About Nothing (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=muchado13.htm,989911,222,2607658,0,4,2013
June 28-July 4 2013,The Croods,http://www.boxofficemojo.com/movies/?page=weekly&id=croods.htm,830576,288,184782846,135,15,2013
June 28-July 4 2013,The Great Gatsby (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=greatgatsby2012.htm,634942,185,142623618,105,8,2013
June 28-July 4 2013,After Earth,http://www.boxofficemojo.com/movies/?page=weekly&id=1000ae.htm,580634,270,58504704,130,5,2013
June 28-July 4 2013,The Hangover Part III,http://www.boxofficemojo.com/movies/?page=weekly&id=hangover3.htm,543116,338,110903545,103,6,2013
June 28-July 4 2013,The East,http://www.boxofficemojo.com/movies/?page=weekly&id=east.htm,415758,122,1800822,0,5,2013
June 28-July 4 2013,20 Feet from Stardom,http://www.boxofficemojo.com/movies/?page=weekly&id=20feetfromstardom.htm,408691,44,591570,0,3,2013
June 28-July 4 2013,Mud,http://www.boxofficemojo.com/movies/?page=weekly&id=mud.htm,334075,168,20699000,0,10,2013
June 28-July 4 2013,Fill the Void,http://www.boxofficemojo.com/movies/?page=weekly&id=fillthevoid.htm,315311,61,1043486,0,6,2013
