weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
October 25-31 2013,Jackass Presents: Bad Grandpa,http://www.boxofficemojo.com/movies/?page=weekly&id=badgrandpa.htm,41558336,3336,41558336,15,1,2013
October 25-31 2013,Gravity,http://www.boxofficemojo.com/movies/?page=weekly&id=gravity.htm,26551652,3707,206066013,100,4,2013
October 25-31 2013,Captain Phillips,http://www.boxofficemojo.com/movies/?page=weekly&id=captainphillips.htm,15776464,3143,74050507,55,3,2013
October 25-31 2013,The Counselor,http://www.boxofficemojo.com/movies/?page=weekly&id=counselor.htm,10387509,3044,10387509,25,1,2013
October 25-31 2013,Carrie (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=carrie2013.htm,8451533,3157,28572888,30,2,2013
October 25-31 2013,Cloudy with a Chance of Meatballs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=cloudy2.htm,7483923,3111,101995177,78,5,2013
October 25-31 2013,Escape Plan,http://www.boxofficemojo.com/movies/?page=weekly&id=tomb.htm,6236164,2883,19319746,0,2,2013
October 25-31 2013,12 Years a Slave,http://www.boxofficemojo.com/movies/?page=weekly&id=twelveyearsaslave.htm,2900381,123,4160324,20,2,2013
October 25-31 2013,Enough Said,http://www.boxofficemojo.com/movies/?page=weekly&id=enoughsaid.htm,2257588,835,13723680,0,6,2013
October 25-31 2013,Prisoners,http://www.boxofficemojo.com/movies/?page=weekly&id=prisoners.htm,1489545,1347,59548607,46,6,2013
October 25-31 2013,Insidious Chapter 2,http://www.boxofficemojo.com/movies/?page=weekly&id=insidious2.htm,1159046,1229,82412431,5,7,2013
October 25-31 2013,Rush (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=rush2013.htm,995170,677,26151009,38,6,2013
October 25-31 2013,The Fifth Estate,http://www.boxofficemojo.com/movies/?page=weekly&id=fifthestate.htm,877465,1769,3154931,28,2,2013
October 25-31 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,829013,786,148808246,37,12,2013
October 25-31 2013,Runner Runner,http://www.boxofficemojo.com/movies/?page=weekly&id=runnerrunner.htm,795103,969,19054523,30,4,2013
