weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
May 17-23 2013,Star Trek Into Darkness,http://www.boxofficemojo.com/movies/?page=weekly&id=startrek12.htm,95290144,3868,108826566,190,1,2013
May 17-23 2013,Iron Man 3,http://www.boxofficemojo.com/movies/?page=weekly&id=ironman3.htm,46190641,4205,348082524,200,3,2013
May 17-23 2013,The Great Gatsby (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=greatgatsby2012.htm,33983287,3090,100726891,105,2,2013
May 17-23 2013,The Hangover Part III,http://www.boxofficemojo.com/movies/?page=weekly&id=hangover3.htm,11789463,3555,11789463,103,-,2013
May 17-23 2013,Pain and Gain,http://www.boxofficemojo.com/movies/?page=weekly&id=painandgain.htm,4439378,2429,47913872,26,4,2013
May 17-23 2013,The Croods,http://www.boxofficemojo.com/movies/?page=weekly&id=croods.htm,4023105,1730,178023288,135,9,2013
May 17-23 2013,42,http://www.boxofficemojo.com/movies/?page=weekly&id=42.htm,3799938,2380,89804450,40,6,2013
May 17-23 2013,Oblivion,http://www.boxofficemojo.com/movies/?page=weekly&id=oblivion.htm,3214205,1538,86465165,120,5,2013
May 17-23 2013,Mud,http://www.boxofficemojo.com/movies/?page=weekly&id=mud.htm,3180211,960,12607636,0,4,2013
May 17-23 2013,Tyler Perry Presents Peeples,http://www.boxofficemojo.com/movies/?page=weekly&id=wethepeeples.htm,2768588,2041,8476365,15,2,2013
May 17-23 2013,The Big Wedding,http://www.boxofficemojo.com/movies/?page=weekly&id=bigwedding.htm,1758492,1443,20856476,35,4,2013
May 17-23 2013,Oz The Great and Powerful,http://www.boxofficemojo.com/movies/?page=weekly&id=oz.htm,1083055,433,231563051,215,11,2013
May 17-23 2013,G.I. Joe: Retaliation,http://www.boxofficemojo.com/movies/?page=weekly&id=gijoe2.htm,706158,409,120648025,130,8,2013
May 17-23 2013,The Iceman (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=iceman2013.htm,686045,165,984783,0,3,2013
May 17-23 2013,Olympus Has Fallen,http://www.boxofficemojo.com/movies/?page=weekly&id=olympushasfallen.htm,615565,466,97518246,70,9,2013
May 17-23 2013,Scary Movie 5,http://www.boxofficemojo.com/movies/?page=weekly&id=scarymovie5.htm,516788,508,31302911,20,6,2013
May 17-23 2013,The Place Beyond the Pines,http://www.boxofficemojo.com/movies/?page=weekly&id=placebeyondthepines.htm,473790,272,20794827,15,8,2013
