weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
September 20-26 2013,Prisoners,http://www.boxofficemojo.com/movies/?page=weekly&id=prisoners.htm,27683932,3260,27683932,46,1,2013
September 20-26 2013,Insidious Chapter 2,http://www.boxofficemojo.com/movies/?page=weekly&id=insidious2.htm,16442135,3155,62797395,5,2,2013
September 20-26 2013,The Family (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=malavita.htm,9381648,3091,28022170,30,2,2013
September 20-26 2013,Instructions Not Included,http://www.boxofficemojo.com/movies/?page=weekly&id=instructionsnotincluded.htm,6625763,978,35187488,0,4,2013
September 20-26 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,6047155,3003,139553452,37,7,2013
September 20-26 2013,Lee Daniels' The Butler,http://www.boxofficemojo.com/movies/?page=weekly&id=butler.htm,5715955,2931,107864069,30,6,2013
September 20-26 2013,Battle of the Year,http://www.boxofficemojo.com/movies/?page=weekly&id=planetbboy3d.htm,5468292,2008,5468292,20,1,2013
September 20-26 2013,Riddick,http://www.boxofficemojo.com/movies/?page=weekly&id=riddick.htm,4941275,3022,38449565,38,3,2013
September 20-26 2013,The Wizard of Oz (3D/IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=wizardofozimax.htm,4523816,318,4523816,0,1,2013
September 20-26 2013,Planes,http://www.boxofficemojo.com/movies/?page=weekly&id=planes.htm,3239866,2446,86922159,50,7,2013
September 20-26 2013,Percy Jackson: Sea of Monsters,http://www.boxofficemojo.com/movies/?page=weekly&id=percyjackson2.htm,2106940,1473,64578751,90,7,2013
September 20-26 2013,Elysium,http://www.boxofficemojo.com/movies/?page=weekly&id=elysium.htm,2025353,1392,91349062,115,7,2013
September 20-26 2013,Blue Jasmine,http://www.boxofficemojo.com/movies/?page=weekly&id=bluejasmine.htm,1644492,847,30063991,0,9,2013
September 20-26 2013,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,1611420,1004,360981820,76,12,2013
September 20-26 2013,One Direction: This is Us,http://www.boxofficemojo.com/movies/?page=weekly&id=onedirection.htm,1357688,1706,28677678,10,4,2013
September 20-26 2013,The World's End,http://www.boxofficemojo.com/movies/?page=weekly&id=worldsend.htm,995259,832,25502572,20,5,2013
September 20-26 2013,2 Guns,http://www.boxofficemojo.com/movies/?page=weekly&id=2guns.htm,898745,752,74716410,61,8,2013
September 20-26 2013,The Mortal Instruments: City of Bones,http://www.boxofficemojo.com/movies/?page=weekly&id=mortalinstruments.htm,850688,1047,30855219,60,5,2013
September 20-26 2013,Thanks for Sharing,http://www.boxofficemojo.com/movies/?page=weekly&id=thanksforsharing.htm,738591,269,738591,0,1,2013
September 20-26 2013,The Smurfs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=smurfs2.htm,614306,596,69664977,105,8,2013
September 20-26 2013,The Wolverine,http://www.boxofficemojo.com/movies/?page=weekly&id=wolverine2.htm,608371,462,131035173,120,9,2013
September 20-26 2013,The Conjuring,http://www.boxofficemojo.com/movies/?page=weekly&id=conjuring.htm,563165,561,136770763,20,10,2013
September 20-26 2013,The Spectacular Now,http://www.boxofficemojo.com/movies/?page=weekly&id=spectacularnow.htm,522712,571,6541779,0,8,2013
September 20-26 2013,Turbo,http://www.boxofficemojo.com/movies/?page=weekly&id=turbo.htm,484077,333,81713412,135,10,2013
September 20-26 2013,This is the End,http://www.boxofficemojo.com/movies/?page=weekly&id=rogenhilluntitled.htm,465103,527,101240463,32,15,2013
September 20-26 2013,Monsters University,http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc2.htm,373095,314,265910125,0,14,2013
September 20-26 2013,The Heat,http://www.boxofficemojo.com/movies/?page=weekly&id=bullockmccarthy.htm,365395,310,158765527,43,13,2013
September 20-26 2013,The Grandmaster,http://www.boxofficemojo.com/movies/?page=weekly&id=grandmasters.htm,344109,473,6400526,0,5,2013
September 20-26 2013,Austenland,http://www.boxofficemojo.com/movies/?page=weekly&id=austenland.htm,341980,234,1636634,0,6,2013
September 20-26 2013,Grown Ups 2,http://www.boxofficemojo.com/movies/?page=weekly&id=grownups2.htm,331946,258,131413245,80,11,2013
September 20-26 2013,Phata Poster Nikla Hero,http://www.boxofficemojo.com/movies/?page=weekly&id=phataposter.htm,316519,94,316519,0,1,2013
September 20-26 2013,In a World,http://www.boxofficemojo.com/movies/?page=weekly&id=inaworld.htm,314460,144,2484657,0,7,2013
September 20-26 2013,Enough Said,http://www.boxofficemojo.com/movies/?page=weekly&id=enoughsaid.htm,313745,4,367479,0,1,2013
September 20-26 2013,The Way, Way Back,http://www.boxofficemojo.com/movies/?page=weekly&id=waywayback.htm,281386,324,21234004,0,12,2013
September 20-26 2013,Salinger,http://www.boxofficemojo.com/movies/?page=weekly&id=salinger.htm,264103,138,439992,0,3,2013
September 20-26 2013,Getaway (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=getaway2013.htm,262555,515,10469383,18,4,2013
September 20-26 2013,Rush (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=rush2013.htm,260909,5,260909,38,1,2013
September 20-26 2013,You're Next,http://www.boxofficemojo.com/movies/?page=weekly&id=yourenext.htm,260305,532,18379214,0,5,2013
September 20-26 2013,Generation Iron,http://www.boxofficemojo.com/movies/?page=weekly&id=generationiron.htm,257000,53,257000,0,1,2013
September 20-26 2013,World War Z,http://www.boxofficemojo.com/movies/?page=weekly&id=worldwarz.htm,241757,203,202190728,190,14,2013
September 20-26 2013,Pacific Rim,http://www.boxofficemojo.com/movies/?page=weekly&id=pacificrim.htm,235197,202,101512503,190,11,2013
September 20-26 2013,Short Term 12,http://www.boxofficemojo.com/movies/?page=weekly&id=shortterm12.htm,179909,75,753205,0,5,2013
September 20-26 2013,Kick-Ass 2,http://www.boxofficemojo.com/movies/?page=weekly&id=kickass2.htm,144775,201,28795985,28,6,2013
September 20-26 2013,Red 2,http://www.boxofficemojo.com/movies/?page=weekly&id=red2.htm,131823,178,52804877,84,10,2013
September 20-26 2013,The Ultimate Life,http://www.boxofficemojo.com/movies/?page=weekly&id=ultimatelife.htm,129303,184,1294215,0,3,2013
September 20-26 2013,Jobs,http://www.boxofficemojo.com/movies/?page=weekly&id=jobs.htm,127784,152,16090059,12,6,2013
September 20-26 2013,R.I.P.D.,http://www.boxofficemojo.com/movies/?page=weekly&id=ripd.htm,126855,151,33618855,130,10,2013
September 20-26 2013,The Lone Ranger,http://www.boxofficemojo.com/movies/?page=weekly&id=loneranger.htm,125064,138,89176423,215,12,2013
September 20-26 2013,Now You See Me,http://www.boxofficemojo.com/movies/?page=weekly&id=nowyouseeme.htm,106240,133,117723989,75,17,2013
September 20-26 2013,Grand Masti,http://www.boxofficemojo.com/movies/?page=weekly&id=grandmasti.htm,96830,64,386083,0,2,2013
September 20-26 2013,Wadjda (U.S. only),http://www.boxofficemojo.com/movies/?page=weekly&id=wadjda.htm,96778,9,158969,0,2,2013
September 20-26 2013,Paranoia,http://www.boxofficemojo.com/movies/?page=weekly&id=paranoia.htm,88595,88,7356875,35,6,2013
September 20-26 2013,Hubble 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=hubble3d.htm,72855,14,40442146,0,184,2013
September 20-26 2013,Fruitvale Station,http://www.boxofficemojo.com/movies/?page=weekly&id=fruitvale.htm,68658,103,15987338,0,11,2013
September 20-26 2013,Drinking Buddies,http://www.boxofficemojo.com/movies/?page=weekly&id=drinkingbuddies.htm,57708,33,310171,0,5,2013
September 20-26 2013,My Lucky Star,http://www.boxofficemojo.com/movies/?page=weekly&id=myluckystar.htm,55268,23,55268,0,1,2013
September 20-26 2013,Closed Circuit,http://www.boxofficemojo.com/movies/?page=weekly&id=closedcircuit.htm,53440,105,5750401,0,4,2013
September 20-26 2013,You Will Be My Son,http://www.boxofficemojo.com/movies/?page=weekly&id=youwillbemyson.htm,51699,21,168069,0,6,2013
September 20-26 2013,Museum Hours,http://www.boxofficemojo.com/movies/?page=weekly&id=museumhours.htm,47305,19,476669,0,13,2013
September 20-26 2013,20 Feet from Stardom,http://www.boxofficemojo.com/movies/?page=weekly&id=20feetfromstardom.htm,46555,40,4629914,0,15,2013
September 20-26 2013,C.O.G.,http://www.boxofficemojo.com/movies/?page=weekly&id=cog.htm,44253,20,44253,0,1,2013
September 20-26 2013,Populaire,http://www.boxofficemojo.com/movies/?page=weekly&id=populaire.htm,38738,20,117103,0,3,2013
September 20-26 2013,Mother of George,http://www.boxofficemojo.com/movies/?page=weekly&id=motherofgeorge.htm,37602,5,64839,0,2,2013
September 20-26 2013,Jewtopia,http://www.boxofficemojo.com/movies/?page=weekly&id=jewtopia.htm,35665,16,35666,0,1,2013
September 20-26 2013,The Short Game,http://www.boxofficemojo.com/movies/?page=weekly&id=shortgame.htm,33530,20,33530,0,1,2013
September 20-26 2013,Good Ol' Freda,http://www.boxofficemojo.com/movies/?page=weekly&id=goodolfreda.htm,32468,11,65396,0,3,2013
September 20-26 2013,Space Station 3-D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=spacestation3dimax.htm,32172,3,88812039,0,597,2013
September 20-26 2013,Adore,http://www.boxofficemojo.com/movies/?page=weekly&id=adore.htm,31110,32,313484,0,3,2013
September 20-26 2013,Ain't Them Bodies Saints,http://www.boxofficemojo.com/movies/?page=weekly&id=aintthembodiessaints.htm,26888,43,381025,0,6,2013
September 20-26 2013,Still Mine,http://www.boxofficemojo.com/movies/?page=weekly&id=stillmine.htm,26625,20,1116764,0,21,2013
September 20-26 2013,Snake and Mongoose,http://www.boxofficemojo.com/movies/?page=weekly&id=snakeandmongoose.htm,25504,12,133837,0,6,2013
September 20-26 2013,Chennai Express,http://www.boxofficemojo.com/movies/?page=weekly&id=chennaiexpress.htm,25341,19,5298341,0,7,2013
September 20-26 2013,The Attack,http://www.boxofficemojo.com/movies/?page=weekly&id=attack.htm,24377,15,1707968,0,14,2013
September 20-26 2013,Blackfish,http://www.boxofficemojo.com/movies/?page=weekly&id=blackfish.htm,24002,28,2030291,0,10,2013
September 20-26 2013,Haute Cuisine,http://www.boxofficemojo.com/movies/?page=weekly&id=hautecuisine.htm,23103,3,23103,0,1,2013
September 20-26 2013,Ip Man: The Final Fight,http://www.boxofficemojo.com/movies/?page=weekly&id=ipman2013.htm,22304,14,22304,0,1,2013
September 20-26 2013,Money for Nothing: Inside the Federal Reserve,http://www.boxofficemojo.com/movies/?page=weekly&id=moneyfornothing13.htm,21344,5,51777,0,3,2013
September 20-26 2013,Much Ado About Nothing (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=muchado13.htm,20042,18,4314782,0,16,2013
September 20-26 2013,Hannah Arendt,http://www.boxofficemojo.com/movies/?page=weekly&id=hannaharendt.htm,19880,6,684771,0,17,2013
September 20-26 2013,Unfinished Song,http://www.boxofficemojo.com/movies/?page=weekly&id=unfinishedsong.htm,18909,23,1687729,0,14,2013
September 20-26 2013,Blue Caprice,http://www.boxofficemojo.com/movies/?page=weekly&id=bluecaprice.htm,18697,9,36815,0,2,2013
September 20-26 2013,Final: The Rapture,http://www.boxofficemojo.com/movies/?page=weekly&id=finaltherapture.htm,18129,3,54482,0,2,2013
September 20-26 2013,The Patience Stone,http://www.boxofficemojo.com/movies/?page=weekly&id=patiencestone.htm,17998,15,112088,0,6,2013
September 20-26 2013,After Tiller,http://www.boxofficemojo.com/movies/?page=weekly&id=aftertiller.htm,17682,2,17682,0,1,2013
September 20-26 2013,To the Arctic (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=tothearctic.htm,17123,9,13530397,0,75,2013
September 20-26 2013,A Single Shot,http://www.boxofficemojo.com/movies/?page=weekly&id=asingleshot.htm,16962,10,16962,0,1,2013
September 20-26 2013,Mademoiselle C,http://www.boxofficemojo.com/movies/?page=weekly&id=mademoisellec.htm,16800,7,40373,0,2,2013
September 20-26 2013,The Anonymous People,http://www.boxofficemojo.com/movies/?page=weekly&id=anonymouspeople.htm,15830,11,67755,0,6,2013
September 20-26 2013,GMO OMG,http://www.boxofficemojo.com/movies/?page=weekly&id=gmoomg.htm,13494,2,29764,0,2,2013
September 20-26 2013,Born to Be Wild (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=borntobewildimax.htm,11548,9,23224439,0,129,2013
September 20-26 2013,When Comedy Went to School,http://www.boxofficemojo.com/movies/?page=weekly&id=whencomedywenttoschool.htm,8848,8,163750,0,8,2013
September 20-26 2013,Before Midnight,http://www.boxofficemojo.com/movies/?page=weekly&id=beforemidnight.htm,8562,10,8098846,0,18,2013
September 20-26 2013,Under the Sea 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=underthesea3d.htm,8355,8,32198716,0,241,2013
September 20-26 2013,Jerusalem,http://www.boxofficemojo.com/movies/?page=weekly&id=jerusalem.htm,7668,1,8630,0,2,2013
September 20-26 2013,Herb and Dorothy 50x50,http://www.boxofficemojo.com/movies/?page=weekly&id=herbdorothy.htm,7389,4,15336,0,2,2013
September 20-26 2013,Renoir,http://www.boxofficemojo.com/movies/?page=weekly&id=renoir.htm,7185,4,2293798,0,23,2013
September 20-26 2013,Deep Sea 3D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=deepsea3d.htm,7126,2,45906645,0,395,2013
September 20-26 2013,Mission Park,http://www.boxofficemojo.com/movies/?page=weekly&id=missionpark.htm,6980,10,52466,0,3,2013
September 20-26 2013,Zaytoun,http://www.boxofficemojo.com/movies/?page=weekly&id=zaytoun.htm,6617,2,6617,0,1,2013
September 20-26 2013,Satyagraha,http://www.boxofficemojo.com/movies/?page=weekly&id=satyagraha.htm,6409,9,737876,0,4,2013
