weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
March 15-21 2013,Oz The Great and Powerful,http://www.boxofficemojo.com/movies/?page=weekly&id=oz.htm,52724511,3912,155528133,215,2,2013
March 15-21 2013,The Call,http://www.boxofficemojo.com/movies/?page=weekly&id=call2013.htm,22204121,2507,22204121,13,1,2013
March 15-21 2013,The Incredible Burt Wonderstone,http://www.boxofficemojo.com/movies/?page=weekly&id=burtwonderstone.htm,13090430,3160,13090430,30,1,2013
March 15-21 2013,Jack the Giant Slayer,http://www.boxofficemojo.com/movies/?page=weekly&id=jackthegiantkiller.htm,8394910,3357,56087283,195,3,2013
March 15-21 2013,Identity Thief,http://www.boxofficemojo.com/movies/?page=weekly&id=identitythief.htm,5995080,2842,125181945,35,6,2013
March 15-21 2013,Snitch,http://www.boxofficemojo.com/movies/?page=weekly&id=snitch.htm,4655272,2353,38412549,0,4,2013
March 15-21 2013,21 and Over,http://www.boxofficemojo.com/movies/?page=weekly&id=21andover.htm,3886547,2424,23135320,13,3,2013
March 15-21 2013,Silver Linings Playbook,http://www.boxofficemojo.com/movies/?page=weekly&id=silverliningsplaybook.htm,3552364,1602,125578543,21,18,2013
March 15-21 2013,Safe Haven,http://www.boxofficemojo.com/movies/?page=weekly&id=safehaven.htm,3322335,2206,67780145,28,5,2013
March 15-21 2013,Dead Man Down,http://www.boxofficemojo.com/movies/?page=weekly&id=deadmandown.htm,3058528,2188,10305868,0,2,2013
March 15-21 2013,Escape From Planet Earth,http://www.boxofficemojo.com/movies/?page=weekly&id=escapefromplanetearth.htm,3038796,2211,52877377,40,5,2013
March 15-21 2013,Life of Pi,http://www.boxofficemojo.com/movies/?page=weekly&id=lifeofpi.htm,1706377,646,121826511,120,17,2013
March 15-21 2013,A Good Day to Die Hard,http://www.boxofficemojo.com/movies/?page=weekly&id=diehard5.htm,1623035,1117,65937182,92,5,2013
March 15-21 2013,The Last Exorcism Part II,http://www.boxofficemojo.com/movies/?page=weekly&id=lastexorcism2.htm,1583802,1575,14688907,5,3,2013
March 15-21 2013,Quartet,http://www.boxofficemojo.com/movies/?page=weekly&id=quartet.htm,1439337,688,15336229,0,10,2013
March 15-21 2013,Emperor,http://www.boxofficemojo.com/movies/?page=weekly&id=emperor.htm,913906,311,2316969,0,2,2013
March 15-21 2013,Side Effects (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=bitterpill.htm,771898,402,30711111,0,6,2013
March 15-21 2013,Warm Bodies,http://www.boxofficemojo.com/movies/?page=weekly&id=warmbodies.htm,770028,659,64780938,35,7,2013
March 15-21 2013,Dark Skies,http://www.boxofficemojo.com/movies/?page=weekly&id=darkskies.htm,726974,703,16829485,3.5,4,2013
March 15-21 2013,Argo,http://www.boxofficemojo.com/movies/?page=weekly&id=argo.htm,707791,540,135376835,44.5,23,2013
March 15-21 2013,Zero Dark Thirty,http://www.boxofficemojo.com/movies/?page=weekly&id=binladen.htm,593811,450,95476534,40,13,2013
March 15-21 2013,Lincoln,http://www.boxofficemojo.com/movies/?page=weekly&id=lincoln.htm,579194,466,181591780,65,19,2013
