weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
August 2-8 2013,2 Guns,http://www.boxofficemojo.com/movies/?page=weekly&id=2guns.htm,37388905,3025,37388905,61,1,2013
August 2-8 2013,The Wolverine,http://www.boxofficemojo.com/movies/?page=weekly&id=wolverine2.htm,30672320,3785,103986170,120,2,2013
August 2-8 2013,The Smurfs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=smurfs2.htm,27582632,3866,37143503,105,1,2013
August 2-8 2013,The Conjuring,http://www.boxofficemojo.com/movies/?page=weekly&id=conjuring.htm,19115153,2650,114044906,20,3,2013
August 2-8 2013,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,16288730,2850,332566195,76,5,2013
August 2-8 2013,Grown Ups 2,http://www.boxofficemojo.com/movies/?page=weekly&id=grownups2.htm,11890725,2852,120140931,80,4,2013
August 2-8 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,11488783,3260,11488783,37,-,2013
August 2-8 2013,Turbo,http://www.boxofficemojo.com/movies/?page=weekly&id=turbo.htm,9691311,2141,72769954,135,3,2013
August 2-8 2013,Percy Jackson: Sea of Monsters,http://www.boxofficemojo.com/movies/?page=weekly&id=percyjackson2.htm,8857059,2907,8857059,90,-,2013
August 2-8 2013,Red 2,http://www.boxofficemojo.com/movies/?page=weekly&id=red2.htm,7908083,2755,47411222,84,3,2013
August 2-8 2013,Pacific Rim,http://www.boxofficemojo.com/movies/?page=weekly&id=pacificrim.htm,6838813,980,95229531,190,4,2013
August 2-8 2013,The Heat,http://www.boxofficemojo.com/movies/?page=weekly&id=bullockmccarthy.htm,6774883,1714,151615945,43,6,2013
August 2-8 2013,The Way, Way Back,http://www.boxofficemojo.com/movies/?page=weekly&id=waywayback.htm,3997861,913,14820188,0,5,2013
August 2-8 2013,Fruitvale Station,http://www.boxofficemojo.com/movies/?page=weekly&id=fruitvale.htm,3795756,1086,12047660,0,4,2013
August 2-8 2013,R.I.P.D.,http://www.boxofficemojo.com/movies/?page=weekly&id=ripd.htm,3438955,988,31511195,130,3,2013
August 2-8 2013,World War Z,http://www.boxofficemojo.com/movies/?page=weekly&id=worldwarz.htm,2729670,912,196803632,190,7,2013
August 2-8 2013,Blue Jasmine,http://www.boxofficemojo.com/movies/?page=weekly&id=bluejasmine.htm,2709420,50,3695839,0,2,2013
August 2-8 2013,Monsters University,http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc2.htm,2325825,620,259487516,0,7,2013
August 2-8 2013,The Lone Ranger,http://www.boxofficemojo.com/movies/?page=weekly&id=loneranger.htm,949605,408,87054312,215,5,2013
