weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
December 20-26 2013,The Hobbit: The Desolation of Smaug,http://www.boxofficemojo.com/movies/?page=weekly&id=hobbit2.htm,64424129,3928,160469546,0,2,2013
December 20-26 2013,Anchorman 2: The Legend Continues,http://www.boxofficemojo.com/movies/?page=weekly&id=anchorman2.htm,50293375,3507,63517018,50,1,2013
December 20-26 2013,Frozen,http://www.boxofficemojo.com/movies/?page=weekly&id=frozen2013.htm,47129466,3335,219521476,150,5,2013
December 20-26 2013,American Hustle,http://www.boxofficemojo.com/movies/?page=weekly&id=davido2013.htm,39336985,2507,40450353,40,2,2013
December 20-26 2013,Saving Mr. Banks,http://www.boxofficemojo.com/movies/?page=weekly&id=savingmrbanks.htm,23197131,2110,23822617,35,2,2013
December 20-26 2013,The Hunger Games: Catching Fire,http://www.boxofficemojo.com/movies/?page=weekly&id=catchingfire.htm,17970047,2305,380923843,130,5,2013
December 20-26 2013,Tyler Perry's A Madea Christmas,http://www.boxofficemojo.com/movies/?page=weekly&id=madeachristmas.htm,16548799,1803,36319076,0,2,2013
December 20-26 2013,The Wolf of Wall Street,http://www.boxofficemojo.com/movies/?page=weekly&id=wolfofwallstreet.htm,15791559,2537,15791559,100,-,2013
December 20-26 2013,Walking with Dinosaurs,http://www.boxofficemojo.com/movies/?page=weekly&id=walkingwithdinosaurs.htm,13668306,3231,13668306,80,1,2013
December 20-26 2013,The Secret Life of Walter Mitty,http://www.boxofficemojo.com/movies/?page=weekly&id=waltermitty.htm,12594960,2909,12594960,90,-,2013
December 20-26 2013,47 Ronin,http://www.boxofficemojo.com/movies/?page=weekly&id=47ronin.htm,10702220,2688,10702220,175,-,2013
December 20-26 2013,Grudge Match,http://www.boxofficemojo.com/movies/?page=weekly&id=grudgematch.htm,6118222,2838,6118222,40,-,2013
December 20-26 2013,Dhoom 3,http://www.boxofficemojo.com/movies/?page=weekly&id=dhoom3.htm,5758973,239,5758973,0,1,2013
December 20-26 2013,Philomena,http://www.boxofficemojo.com/movies/?page=weekly&id=philomena.htm,2565871,727,14677423,12,5,2013
December 20-26 2013,Inside Llewyn Davis,http://www.boxofficemojo.com/movies/?page=weekly&id=insidellewyndavis.htm,2319565,160,3370715,0,3,2013
