weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
April 26-May 2 2013,Pain and Gain,http://www.boxofficemojo.com/movies/?page=weekly&id=painandgain.htm,26319075,3277,26319075,26,1,2013
April 26-May 2 2013,Oblivion,http://www.boxofficemojo.com/movies/?page=weekly&id=oblivion.htm,22884415,3792,70171915,120,2,2013
April 26-May 2 2013,42,http://www.boxofficemojo.com/movies/?page=weekly&id=42.htm,13771398,3405,72125770,40,3,2013
April 26-May 2 2013,The Big Wedding,http://www.boxofficemojo.com/movies/?page=weekly&id=bigwedding.htm,10334565,2633,10334565,35,1,2013
April 26-May 2 2013,The Croods,http://www.boxofficemojo.com/movies/?page=weekly&id=croods.htm,8093376,3283,164518159,135,6,2013
April 26-May 2 2013,G.I. Joe: Retaliation,http://www.boxofficemojo.com/movies/?page=weekly&id=gijoe2.htm,4706173,2707,117482316,130,5,2013
April 26-May 2 2013,Scary Movie 5,http://www.boxofficemojo.com/movies/?page=weekly&id=scarymovie5.htm,4131372,2733,28168308,20,3,2013
April 26-May 2 2013,The Place Beyond the Pines,http://www.boxofficemojo.com/movies/?page=weekly&id=placebeyondthepines.htm,3871769,1584,17396640,15,5,2013
April 26-May 2 2013,Olympus Has Fallen,http://www.boxofficemojo.com/movies/?page=weekly&id=olympushasfallen.htm,3871407,2334,94179879,70,6,2013
April 26-May 2 2013,Jurassic Park 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=jurassicpark3d.htm,3169610,1848,42859985,10,4,2013
April 26-May 2 2013,Mud,http://www.boxofficemojo.com/movies/?page=weekly&id=mud.htm,3007898,363,3007898,0,1,2013
April 26-May 2 2013,Evil Dead (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=evildead2013.htm,2717731,2186,52585489,17,4,2013
April 26-May 2 2013,Oz The Great and Powerful,http://www.boxofficemojo.com/movies/?page=weekly&id=oz.htm,2297793,1610,226745932,215,8,2013
April 26-May 2 2013,The Company You Keep,http://www.boxofficemojo.com/movies/?page=weekly&id=companyyoukeep.htm,1631572,807,2729171,0,4,2013
April 26-May 2 2013,Tyler Perry's Temptation: Confessions of a Marriage Counselor,http://www.boxofficemojo.com/movies/?page=weekly&id=marriagecounselor.htm,1419588,942,50953911,0,5,2013
April 26-May 2 2013,Filly Brown,http://www.boxofficemojo.com/movies/?page=weekly&id=fillybrown.htm,689333,259,2434424,2,2,2013
April 26-May 2 2013,Home Run,http://www.boxofficemojo.com/movies/?page=weekly&id=homerun.htm,591539,371,2420839,0,2,2013
April 26-May 2 2013,Jack the Giant Slayer,http://www.boxofficemojo.com/movies/?page=weekly&id=jackthegiantkiller.htm,543033,365,63856140,195,9,2013
April 26-May 2 2013,The Host (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=host2013.htm,505011,611,25992097,40,5,2013
April 26-May 2 2013,Identity Thief,http://www.boxofficemojo.com/movies/?page=weekly&id=identitythief.htm,440015,425,133250395,35,12,2013
April 26-May 2 2013,The Call,http://www.boxofficemojo.com/movies/?page=weekly&id=call2013.htm,438064,513,50841697,13,7,2013
April 26-May 2 2013,Disconnect,http://www.boxofficemojo.com/movies/?page=weekly&id=disconnect.htm,336230,111,844230,0,3,2013
April 26-May 2 2013,Silver Linings Playbook,http://www.boxofficemojo.com/movies/?page=weekly&id=silverliningsplaybook.htm,279622,361,131504964,21,24,2013
April 26-May 2 2013,The Lords of Salem,http://www.boxofficemojo.com/movies/?page=weekly&id=lordsofsalem.htm,264036,280,1119329,1.5,2,2013
April 26-May 2 2013,The Sapphires,http://www.boxofficemojo.com/movies/?page=weekly&id=sapphires.htm,253318,126,1489482,0,6,2013
April 26-May 2 2013,Snitch,http://www.boxofficemojo.com/movies/?page=weekly&id=snitch.htm,249465,252,42388296,0,10,2013
