weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
May 3-9 2013,Iron Man 3,http://www.boxofficemojo.com/movies/?page=weekly&id=ironman3.htm,212421084,4253,212421084,200,1,2013
May 3-9 2013,Pain and Gain,http://www.boxofficemojo.com/movies/?page=weekly&id=painandgain.htm,10289125,3287,36608200,26,2,2013
May 3-9 2013,42,http://www.boxofficemojo.com/movies/?page=weekly&id=42.htm,7956109,3345,80081879,40,4,2013
May 3-9 2013,Oblivion,http://www.boxofficemojo.com/movies/?page=weekly&id=oblivion.htm,7619700,3430,77791615,120,3,2013
May 3-9 2013,The Big Wedding,http://www.boxofficemojo.com/movies/?page=weekly&id=bigwedding.htm,5453126,2633,15787691,35,2,2013
May 3-9 2013,The Croods,http://www.boxofficemojo.com/movies/?page=weekly&id=croods.htm,5097318,2915,169615477,135,7,2013
May 3-9 2013,Mud,http://www.boxofficemojo.com/movies/?page=weekly&id=mud.htm,3012081,576,6019979,0,2,2013
May 3-9 2013,Oz The Great and Powerful,http://www.boxofficemojo.com/movies/?page=weekly&id=oz.htm,2436388,1160,229182320,215,9,2013
May 3-9 2013,The Place Beyond the Pines,http://www.boxofficemojo.com/movies/?page=weekly&id=placebeyondthepines.htm,1906896,1162,19303536,15,6,2013
May 3-9 2013,Scary Movie 5,http://www.boxofficemojo.com/movies/?page=weekly&id=scarymovie5.htm,1769722,1857,29938030,20,4,2013
May 3-9 2013,Olympus Has Fallen,http://www.boxofficemojo.com/movies/?page=weekly&id=olympushasfallen.htm,1697745,1632,95877624,70,7,2013
May 3-9 2013,G.I. Joe: Retaliation,http://www.boxofficemojo.com/movies/?page=weekly&id=gijoe2.htm,1674575,1804,119156891,130,6,2013
May 3-9 2013,Jurassic Park 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=jurassicpark3d.htm,1258925,980,44118910,10,5,2013
May 3-9 2013,The Company You Keep,http://www.boxofficemojo.com/movies/?page=weekly&id=companyyoukeep.htm,1000533,541,3730250,0,5,2013
May 3-9 2013,Evil Dead (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=evildead2013.htm,880019,959,53465508,17,5,2013
May 3-9 2013,Tyler Perry's Temptation: Confessions of a Marriage Counselor,http://www.boxofficemojo.com/movies/?page=weekly&id=marriagecounselor.htm,558588,504,51512499,0,6,2013
May 3-9 2013,Jack the Giant Slayer,http://www.boxofficemojo.com/movies/?page=weekly&id=jackthegiantkiller.htm,379448,335,64235588,195,10,2013
May 3-9 2013,Stories We Tell,http://www.boxofficemojo.com/movies/?page=weekly&id=storieswetell.htm,364859,0,364859,0,-,2013
May 3-9 2013,Silver Linings Playbook,http://www.boxofficemojo.com/movies/?page=weekly&id=silverliningsplaybook.htm,298619,468,131803583,21,25,2013
May 3-9 2013,Disconnect,http://www.boxofficemojo.com/movies/?page=weekly&id=disconnect.htm,296104,161,1140334,0,4,2013
May 3-9 2013,Shootout at Wadala,http://www.boxofficemojo.com/movies/?page=weekly&id=shootoutatwadala.htm,276829,89,276829,0,1,2013
May 3-9 2013,Identity Thief,http://www.boxofficemojo.com/movies/?page=weekly&id=identitythief.htm,271610,300,133522005,35,13,2013
May 3-9 2013,Filly Brown,http://www.boxofficemojo.com/movies/?page=weekly&id=fillybrown.htm,223365,204,2657789,2,3,2013
May 3-9 2013,The Host (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=host2013.htm,217487,290,26209584,40,6,2013
May 3-9 2013,Renoir,http://www.boxofficemojo.com/movies/?page=weekly&id=renoir.htm,214303,74,1141288,0,6,2013
May 3-9 2013,The Sapphires,http://www.boxofficemojo.com/movies/?page=weekly&id=sapphires.htm,210408,123,1699890,0,7,2013
May 3-9 2013,Snitch,http://www.boxofficemojo.com/movies/?page=weekly&id=snitch.htm,182084,215,42570380,0,11,2013
May 3-9 2013,Home Run,http://www.boxofficemojo.com/movies/?page=weekly&id=homerun.htm,170615,164,2591454,0,3,2013
