weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
September 13-19 2013,Insidious Chapter 2,http://www.boxofficemojo.com/movies/?page=weekly&id=insidious2.htm,46355260,3049,46355260,5,1,2013
September 13-19 2013,The Family (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=malavita.htm,18640522,3091,18640522,30,1,2013
September 13-19 2013,Riddick,http://www.boxofficemojo.com/movies/?page=weekly&id=riddick.htm,9241915,3117,33508290,38,2,2013
September 13-19 2013,Lee Daniels' The Butler,http://www.boxofficemojo.com/movies/?page=weekly&id=butler.htm,7688996,3239,102148114,30,5,2013
September 13-19 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,7319201,3238,133506297,37,6,2013
September 13-19 2013,Instructions Not Included,http://www.boxofficemojo.com/movies/?page=weekly&id=instructionsnotincluded.htm,6231027,933,28561725,0,3,2013
September 13-19 2013,Planes,http://www.boxofficemojo.com/movies/?page=weekly&id=planes.htm,3764637,2739,83682293,50,6,2013
September 13-19 2013,Elysium,http://www.boxofficemojo.com/movies/?page=weekly&id=elysium.htm,2986094,1720,89323709,115,6,2013
September 13-19 2013,One Direction: This is Us,http://www.boxofficemojo.com/movies/?page=weekly&id=onedirection.htm,2832788,2300,27319990,10,3,2013
September 13-19 2013,Blue Jasmine,http://www.boxofficemojo.com/movies/?page=weekly&id=bluejasmine.htm,2306941,993,28393495,0,8,2013
September 13-19 2013,Percy Jackson: Sea of Monsters,http://www.boxofficemojo.com/movies/?page=weekly&id=percyjackson2.htm,2261372,1638,62471811,90,6,2013
September 13-19 2013,The World's End,http://www.boxofficemojo.com/movies/?page=weekly&id=worldsend.htm,1842697,1243,24507313,20,4,2013
September 13-19 2013,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,1539080,1006,359370400,76,11,2013
September 13-19 2013,The Mortal Instruments: City of Bones,http://www.boxofficemojo.com/movies/?page=weekly&id=mortalinstruments.htm,1489925,1576,30004531,60,4,2013
September 13-19 2013,2 Guns,http://www.boxofficemojo.com/movies/?page=weekly&id=2guns.htm,1239265,908,73817665,61,7,2013
September 13-19 2013,This is the End,http://www.boxofficemojo.com/movies/?page=weekly&id=rogenhilluntitled.htm,1133958,1333,100775360,32,14,2013
September 13-19 2013,The Spectacular Now,http://www.boxofficemojo.com/movies/?page=weekly&id=spectacularnow.htm,986295,770,6019067,0,7,2013
September 13-19 2013,Getaway (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=getaway2013.htm,910015,1378,10206828,18,3,2013
September 13-19 2013,The Conjuring,http://www.boxofficemojo.com/movies/?page=weekly&id=conjuring.htm,804054,676,136207598,20,9,2013
September 13-19 2013,The Wolverine,http://www.boxofficemojo.com/movies/?page=weekly&id=wolverine2.htm,765938,540,130426802,120,8,2013
September 13-19 2013,You're Next,http://www.boxofficemojo.com/movies/?page=weekly&id=yourenext.htm,741989,1110,18118909,0,4,2013
September 13-19 2013,The Smurfs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=smurfs2.htm,731878,693,69050671,105,7,2013
September 13-19 2013,The Grandmaster,http://www.boxofficemojo.com/movies/?page=weekly&id=grandmasters.htm,701917,705,6056417,0,4,2013
September 13-19 2013,Turbo,http://www.boxofficemojo.com/movies/?page=weekly&id=turbo.htm,528809,353,81229335,135,9,2013
September 13-19 2013,Austenland,http://www.boxofficemojo.com/movies/?page=weekly&id=austenland.htm,487218,274,1294654,0,5,2013
September 13-19 2013,Monsters University,http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc2.htm,444976,382,265537030,0,13,2013
September 13-19 2013,World War Z,http://www.boxofficemojo.com/movies/?page=weekly&id=worldwarz.htm,430138,280,201948971,190,13,2013
September 13-19 2013,In a World,http://www.boxofficemojo.com/movies/?page=weekly&id=inaworld.htm,399247,144,2170197,0,6,2013
September 13-19 2013,The Way, Way Back,http://www.boxofficemojo.com/movies/?page=weekly&id=waywayback.htm,392481,421,20952618,0,11,2013
September 13-19 2013,The Heat,http://www.boxofficemojo.com/movies/?page=weekly&id=bullockmccarthy.htm,385000,336,158400132,43,12,2013
September 13-19 2013,Grown Ups 2,http://www.boxofficemojo.com/movies/?page=weekly&id=grownups2.htm,357064,294,131081299,80,10,2013
September 13-19 2013,Kick-Ass 2,http://www.boxofficemojo.com/movies/?page=weekly&id=kickass2.htm,344810,343,28651210,28,5,2013
September 13-19 2013,The Ultimate Life,http://www.boxofficemojo.com/movies/?page=weekly&id=ultimatelife.htm,335449,412,1164912,0,2,2013
September 13-19 2013,Closed Circuit,http://www.boxofficemojo.com/movies/?page=weekly&id=closedcircuit.htm,318261,413,5696961,0,3,2013
September 13-19 2013,Pacific Rim,http://www.boxofficemojo.com/movies/?page=weekly&id=pacificrim.htm,307037,254,101277306,190,10,2013
September 13-19 2013,Grand Masti,http://www.boxofficemojo.com/movies/?page=weekly&id=grandmasti.htm,289253,64,289253,0,1,2013
September 13-19 2013,Jobs,http://www.boxofficemojo.com/movies/?page=weekly&id=jobs.htm,272249,239,15962275,12,5,2013
September 13-19 2013,Short Term 12,http://www.boxofficemojo.com/movies/?page=weekly&id=shortterm12.htm,216872,63,573296,0,4,2013
September 13-19 2013,Red 2,http://www.boxofficemojo.com/movies/?page=weekly&id=red2.htm,174890,209,52673054,84,9,2013
September 13-19 2013,The Lone Ranger,http://www.boxofficemojo.com/movies/?page=weekly&id=loneranger.htm,174276,196,89051359,215,11,2013
September 13-19 2013,Now You See Me,http://www.boxofficemojo.com/movies/?page=weekly&id=nowyouseeme.htm,169325,171,117617749,75,16,2013
September 13-19 2013,R.I.P.D.,http://www.boxofficemojo.com/movies/?page=weekly&id=ripd.htm,164880,164,33492000,130,9,2013
September 13-19 2013,Fruitvale Station,http://www.boxofficemojo.com/movies/?page=weekly&id=fruitvale.htm,113372,137,15918680,0,10,2013
September 13-19 2013,The Investigator,http://www.boxofficemojo.com/movies/?page=weekly&id=investigator.htm,103739,11,103739,0,1,2013
September 13-19 2013,Adore,http://www.boxofficemojo.com/movies/?page=weekly&id=adore.htm,98507,52,282374,0,2,2013
September 13-19 2013,Ain't Them Bodies Saints,http://www.boxofficemojo.com/movies/?page=weekly&id=aintthembodiessaints.htm,94902,39,354137,0,5,2013
September 13-19 2013,Drinking Buddies,http://www.boxofficemojo.com/movies/?page=weekly&id=drinkingbuddies.htm,88200,29,252463,0,4,2013
September 13-19 2013,Man of Steel,http://www.boxofficemojo.com/movies/?page=weekly&id=superman2012.htm,84970,91,291045518,225,14,2013
September 13-19 2013,20 Feet from Stardom,http://www.boxofficemojo.com/movies/?page=weekly&id=20feetfromstardom.htm,64829,40,4583359,0,14,2013
September 13-19 2013,Wadjda (U.S. only),http://www.boxofficemojo.com/movies/?page=weekly&id=wadjda.htm,62191,3,62161,0,1,2013
September 13-19 2013,Salinger,http://www.boxofficemojo.com/movies/?page=weekly&id=salinger.htm,62172,4,175889,0,2,2013
September 13-19 2013,Populaire,http://www.boxofficemojo.com/movies/?page=weekly&id=populaire.htm,55138,15,78365,0,2,2013
September 13-19 2013,Hubble 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=hubble3d.htm,54610,13,40369291,0,183,2013
