weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
January 11-17 2013,Zero Dark Thirty,http://www.boxofficemojo.com/movies/?page=weekly&id=binladen.htm,32863950,2937,38344757,40,4,2013
January 11-17 2013,Gangster Squad,http://www.boxofficemojo.com/movies/?page=weekly&id=gangstersquad.htm,23110060,3103,23110060,60,1,2013
January 11-17 2013,A Haunted House,http://www.boxofficemojo.com/movies/?page=weekly&id=hauntedhouse.htm,21613179,2160,21613179,2.5,1,2013
January 11-17 2013,Django Unchained,http://www.boxofficemojo.com/movies/?page=weekly&id=djangounchained.htm,15784613,3012,130118735,100,3,2013
January 11-17 2013,Les Miserables (2012),http://www.boxofficemojo.com/movies/?page=weekly&id=lesmiserables2012.htm,13479300,2927,122558020,61,3,2013
January 11-17 2013,The Hobbit: An Unexpected Journey,http://www.boxofficemojo.com/movies/?page=weekly&id=hobbit.htm,11945554,3012,280989741,0,5,2013
January 11-17 2013,Lincoln,http://www.boxofficemojo.com/movies/?page=weekly&id=lincoln.htm,8871019,2027,155136079,65,10,2013
January 11-17 2013,Silver Linings Playbook,http://www.boxofficemojo.com/movies/?page=weekly&id=silverliningsplaybook.htm,7653565,810,43959270,21,9,2013
January 11-17 2013,Parental Guidance,http://www.boxofficemojo.com/movies/?page=weekly&id=parentalguidance.htm,7474850,2957,62025154,25,3,2013
January 11-17 2013,Texas Chainsaw 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=texaschainsaw3d.htm,6591198,2659,32192938,0,2,2013
January 11-17 2013,Jack Reacher,http://www.boxofficemojo.com/movies/?page=weekly&id=oneshot.htm,6369003,2707,74177333,60,4,2013
January 11-17 2013,This Is 40,http://www.boxofficemojo.com/movies/?page=weekly&id=apatow.htm,5812045,2320,62881000,35,4,2013
January 11-17 2013,Life of Pi,http://www.boxofficemojo.com/movies/?page=weekly&id=lifeofpi.htm,3741153,757,95837305,120,8,2013
January 11-17 2013,The Impossible,http://www.boxofficemojo.com/movies/?page=weekly&id=impossible.htm,3402476,808,7716565,0,4,2013
January 11-17 2013,The Guilt Trip,http://www.boxofficemojo.com/movies/?page=weekly&id=mymotherscurse.htm,2529687,1606,35092584,40,4,2013
January 11-17 2013,Argo,http://www.boxofficemojo.com/movies/?page=weekly&id=argo.htm,2116570,621,112521554,44.5,14,2013
January 11-17 2013,Skyfall,http://www.boxofficemojo.com/movies/?page=weekly&id=bond23.htm,2093861,823,299887074,200,10,2013
January 11-17 2013,Monsters, Inc. (3D),http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc3d.htm,2071029,1127,30940515,0,4,2013
January 11-17 2013,Promised Land (2012),http://www.boxofficemojo.com/movies/?page=weekly&id=promisedland2012.htm,1807385,1647,7412086,0,3,2013
January 11-17 2013,Rise of the Guardians,http://www.boxofficemojo.com/movies/?page=weekly&id=guardians.htm,1251270,905,98936363,145,8,2013
January 11-17 2013,Hyde Park on Hudson,http://www.boxofficemojo.com/movies/?page=weekly&id=hydepark.htm,851729,246,4441533,0,6,2013
January 11-17 2013,The Twilight Saga: Breaking Dawn Part 2,http://www.boxofficemojo.com/movies/?page=weekly&id=breakingdawn2.htm,850445,542,290380023,120,9,2013
January 11-17 2013,Wreck-It Ralph,http://www.boxofficemojo.com/movies/?page=weekly&id=rebootralph.htm,785531,476,179507304,165,11,2013
January 11-17 2013,Cirque Du Soleil: Worlds Away,http://www.boxofficemojo.com/movies/?page=weekly&id=cirquedusoleil.htm,639088,430,11950006,0,4,2013
January 11-17 2013,Hotel Transylvania,http://www.boxofficemojo.com/movies/?page=weekly&id=hoteltransylvania.htm,431564,252,146714638,85,16,2013
January 11-17 2013,Amour,http://www.boxofficemojo.com/movies/?page=weekly&id=amour.htm,390419,15,771695,8.9,4,2013
January 11-17 2013,Anna Karenina,http://www.boxofficemojo.com/movies/?page=weekly&id=annakarenina2012.htm,351732,144,12069894,0,9,2013
January 11-17 2013,Rust and Bone,http://www.boxofficemojo.com/movies/?page=weekly&id=rustandbone.htm,280374,79,1237542,0,8,2013
January 11-17 2013,Here Comes the Boom,http://www.boxofficemojo.com/movies/?page=weekly&id=herecomestheboom.htm,268618,228,44447765,0,14,2013
January 11-17 2013,Flight,http://www.boxofficemojo.com/movies/?page=weekly&id=flight.htm,210794,150,92804455,31,11,2013
January 11-17 2013,Taken 2,http://www.boxofficemojo.com/movies/?page=weekly&id=taken2.htm,194911,190,139548476,45,15,2013
January 11-17 2013,Hitchcock,http://www.boxofficemojo.com/movies/?page=weekly&id=hitchcock.htm,145759,127,5705255,0,8,2013
January 11-17 2013,Red Dawn (2012),http://www.boxofficemojo.com/movies/?page=weekly&id=reddawn10.htm,145132,225,44072938,65,8,2013
January 11-17 2013,Pitch Perfect,http://www.boxofficemojo.com/movies/?page=weekly&id=pitchperfect.htm,129285,154,64827228,17,16,2013
January 11-17 2013,Cloud Atlas,http://www.boxofficemojo.com/movies/?page=weekly&id=cloudatlas.htm,109813,162,27063858,0,12,2013
January 11-17 2013,Frankenweenie,http://www.boxofficemojo.com/movies/?page=weekly&id=frankenweenie.htm,107358,127,35074948,39,15,2013
January 11-17 2013,To the Arctic (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=tothearctic.htm,97932,52,10787208,0,39,2013
January 11-17 2013,The Perks of Being a Wallflower,http://www.boxofficemojo.com/movies/?page=weekly&id=perksofbeingawallflower.htm,93170,100,17607939,0,17,2013
January 11-17 2013,The Sessions,http://www.boxofficemojo.com/movies/?page=weekly&id=sixsessions.htm,86787,54,5750425,0,13,2013
January 11-17 2013,End of Watch,http://www.boxofficemojo.com/movies/?page=weekly&id=endofwatch.htm,81915,111,41003371,7,17,2013
January 11-17 2013,Hubble 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=hubble3d.htm,76922,16,35607977,0,148,2013
January 11-17 2013,Chasing Ice,http://www.boxofficemojo.com/movies/?page=weekly&id=chasingice.htm,75911,43,970721,0,10,2013
January 11-17 2013,Quartet,http://www.boxofficemojo.com/movies/?page=weekly&id=quartet.htm,72077,2,72077,0,1,2013
January 11-17 2013,Not Fade Away,http://www.boxofficemojo.com/movies/?page=weekly&id=davidchase2012.htm,65023,177,598810,20,4,2013
January 11-17 2013,A Late Quartet,http://www.boxofficemojo.com/movies/?page=weekly&id=alatequartet.htm,47805,17,1425933,0,11,2013
January 11-17 2013,Playing for Keeps,http://www.boxofficemojo.com/movies/?page=weekly&id=playingthefield.htm,46091,107,12917736,0,6,2013
January 11-17 2013,The Master,http://www.boxofficemojo.com/movies/?page=weekly&id=themaster.htm,40209,16,16026935,0,18,2013
January 11-17 2013,Searching for Sugar Man,http://www.boxofficemojo.com/movies/?page=weekly&id=searchingforsugarman.htm,37438,22,3106392,0,25,2013
January 11-17 2013,Born to Be Wild (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=borntobewildimax.htm,37112,30,21741981,0,93,2013
January 11-17 2013,Ice Age: Continental Drift,http://www.boxofficemojo.com/movies/?page=weekly&id=iceage4.htm,34954,48,161246353,95,27,2013
January 11-17 2013,Space Station 3-D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=spacestation3dimax.htm,32188,2,86954976,0,561,2013
January 11-17 2013,A Royal Affair,http://www.boxofficemojo.com/movies/?page=weekly&id=aroyalaffair.htm,29990,29,702261,0,10,2013
January 11-17 2013,Holy Motors,http://www.boxofficemojo.com/movies/?page=weekly&id=holymotors.htm,29463,13,600774,0,13,2013
January 11-17 2013,Killing Them Softly,http://www.boxofficemojo.com/movies/?page=weekly&id=coganstrade.htm,27675,31,14947716,15,7,2013
January 11-17 2013,56 Up,http://www.boxofficemojo.com/movies/?page=weekly&id=56up.htm,25050,2,59466,0,2,2013
January 11-17 2013,Burn,http://www.boxofficemojo.com/movies/?page=weekly&id=burn.htm,24160,2,337938,0,13,2013
