weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
November 15-21 2013,Thor: The Dark World,http://www.boxofficemojo.com/movies/?page=weekly&id=thor2.htm,45209707,3841,153720821,170,2,2013
November 15-21 2013,The Best Man Holiday,http://www.boxofficemojo.com/movies/?page=weekly&id=bestman2.htm,37869590,2024,37869590,17,1,2013
November 15-21 2013,Last Vegas,http://www.boxofficemojo.com/movies/?page=weekly&id=lastvegas.htm,11432766,3237,49525749,28,3,2013
November 15-21 2013,Jackass Presents: Bad Grandpa,http://www.boxofficemojo.com/movies/?page=weekly&id=badgrandpa.htm,9469127,3190,92000765,15,4,2013
November 15-21 2013,Free Birds,http://www.boxofficemojo.com/movies/?page=weekly&id=turkeys.htm,9375660,3510,43293865,55,3,2013
November 15-21 2013,Gravity,http://www.boxofficemojo.com/movies/?page=weekly&id=gravity.htm,7921990,1845,242197604,100,7,2013
November 15-21 2013,Ender's Game,http://www.boxofficemojo.com/movies/?page=weekly&id=endersgame.htm,7641889,3236,55218473,110,3,2013
November 15-21 2013,12 Years a Slave,http://www.boxofficemojo.com/movies/?page=weekly&id=twelveyearsaslave.htm,6344527,1411,26593312,20,5,2013
November 15-21 2013,Captain Phillips,http://www.boxofficemojo.com/movies/?page=weekly&id=captainphillips.htm,5767010,2626,98884468,55,6,2013
November 15-21 2013,About Time,http://www.boxofficemojo.com/movies/?page=weekly&id=abouttime.htm,4467410,1280,12573058,0,3,2013
November 15-21 2013,Dallas Buyers Club,http://www.boxofficemojo.com/movies/?page=weekly&id=dallasbuyersclub.htm,2425965,184,3686901,5,3,2013
November 15-21 2013,Cloudy with a Chance of Meatballs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=cloudy2.htm,2298927,1645,113365425,78,8,2013
November 15-21 2013,Ram-Leela,http://www.boxofficemojo.com/movies/?page=weekly&id=ramleela.htm,1801812,204,1801812,0,1,2013
November 15-21 2013,All Is Lost,http://www.boxofficemojo.com/movies/?page=weekly&id=allislost.htm,1284911,483,4605853,0,5,2013
November 15-21 2013,Escape Plan,http://www.boxofficemojo.com/movies/?page=weekly&id=tomb.htm,752029,687,24325582,0,5,2013
November 15-21 2013,Carrie (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=carrie2013.htm,724455,933,35195366,30,5,2013
November 15-21 2013,Enough Said,http://www.boxofficemojo.com/movies/?page=weekly&id=enoughsaid.htm,662447,393,16745161,0,9,2013
November 15-21 2013,The Book Thief,http://www.boxofficemojo.com/movies/?page=weekly&id=bookthief.htm,554342,29,697860,0,2,2013
November 15-21 2013,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,506285,305,366031955,76,20,2013
November 15-21 2013,The Counselor,http://www.boxofficemojo.com/movies/?page=weekly&id=counselor.htm,502584,481,16734835,25,4,2013
November 15-21 2013,Blue Is the Warmest Color,http://www.boxofficemojo.com/movies/?page=weekly&id=bluewarm.htm,387513,109,1264498,0,4,2013
November 15-21 2013,Prisoners,http://www.boxofficemojo.com/movies/?page=weekly&id=prisoners.htm,333598,355,60675667,46,9,2013
November 15-21 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,289210,303,150094129,37,15,2013
November 15-21 2013,Planes,http://www.boxofficemojo.com/movies/?page=weekly&id=planes.htm,229815,246,89928634,50,15,2013
November 15-21 2013,Nebraska,http://www.boxofficemojo.com/movies/?page=weekly&id=nebraska.htm,189613,4,189613,12,1,2013
November 15-21 2013,Percy Jackson: Sea of Monsters,http://www.boxofficemojo.com/movies/?page=weekly&id=percyjackson2.htm,184709,215,67955923,90,15,2013
November 15-21 2013,Kill Your Darlings,http://www.boxofficemojo.com/movies/?page=weekly&id=killyourdarlings.htm,173040,71,543133,0,5,2013
November 15-21 2013,Krrish 3,http://www.boxofficemojo.com/movies/?page=weekly&id=krrish3.htm,170842,208,2154479,0,3,2013
November 15-21 2013,Elysium,http://www.boxofficemojo.com/movies/?page=weekly&id=elysium.htm,166840,181,92997058,115,15,2013
November 15-21 2013,I'm In Love With a Church Girl,http://www.boxofficemojo.com/movies/?page=weekly&id=churchgirl.htm,143364,55,2329216,0,5,2013
November 15-21 2013,Lee Daniels' The Butler,http://www.boxofficemojo.com/movies/?page=weekly&id=butler.htm,140989,176,115513937,30,14,2013
November 15-21 2013,Rush (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=rush2013.htm,138890,131,26947624,38,9,2013
November 15-21 2013,The Saratov Approach,http://www.boxofficemojo.com/movies/?page=weekly&id=saratovapproach.htm,129773,41,1286262,0,6,2013
November 15-21 2013,Insidious Chapter 2,http://www.boxofficemojo.com/movies/?page=weekly&id=insidious2.htm,116626,167,83206922,5,10,2013
November 15-21 2013,Great Expectations (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=greatexpectations2013.htm,112252,85,239620,0,2,2013
November 15-21 2013,Monsters University,http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc2.htm,106618,145,268334288,0,22,2013
November 15-21 2013,Don Jon,http://www.boxofficemojo.com/movies/?page=weekly&id=donjon.htm,92588,48,24226110,6,8,2013
November 15-21 2013,Blue Jasmine,http://www.boxofficemojo.com/movies/?page=weekly&id=bluejasmine.htm,90832,52,32644012,0,17,2013
