weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
February 8-14 2013,Identity Thief,http://www.boxofficemojo.com/movies/?page=weekly&id=identitythief.htm,47287785,3141,47287785,35,1,2013
February 8-14 2013,Warm Bodies,http://www.boxofficemojo.com/movies/?page=weekly&id=warmbodies.htm,16095449,3009,41220531,35,2,2013
February 8-14 2013,Side Effects (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=bitterpill.htm,12820836,2605,12820836,0,1,2013
February 8-14 2013,Silver Linings Playbook,http://www.boxofficemojo.com/movies/?page=weekly&id=silverliningsplaybook.htm,9280233,2532,92374472,21,13,2013
February 8-14 2013,Safe Haven,http://www.boxofficemojo.com/movies/?page=weekly&id=safehaven.htm,8828918,3223,8828918,28,-,2013
February 8-14 2013,A Good Day to Die Hard,http://www.boxofficemojo.com/movies/?page=weekly&id=diehard5.htm,8239116,3553,8239116,92,-,2013
February 8-14 2013,Hansel and Gretel: Witch Hunters,http://www.boxofficemojo.com/movies/?page=weekly&id=hanselandgretelwitchhunters.htm,8145942,2570,46228795,50,3,2013
February 8-14 2013,Mama,http://www.boxofficemojo.com/movies/?page=weekly&id=mama.htm,5758030,2043,65480175,15,4,2013
February 8-14 2013,Zero Dark Thirty,http://www.boxofficemojo.com/movies/?page=weekly&id=binladen.htm,5368078,1866,84928668,40,8,2013
February 8-14 2013,Argo,http://www.boxofficemojo.com/movies/?page=weekly&id=argo.htm,3429439,1405,124663052,44.5,18,2013
February 8-14 2013,Django Unchained,http://www.boxofficemojo.com/movies/?page=weekly&id=djangounchained.htm,3279851,1408,155492983,100,7,2013
February 8-14 2013,Lincoln,http://www.boxofficemojo.com/movies/?page=weekly&id=lincoln.htm,2840458,1158,174587927,65,14,2013
February 8-14 2013,Top Gun 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=topgun3d.htm,2817018,33,2817018,0,1,2013
February 8-14 2013,Bullet to the Head,http://www.boxofficemojo.com/movies/?page=weekly&id=bullettothehead.htm,2802657,2404,8993679,0,2,2013
February 8-14 2013,Parker,http://www.boxofficemojo.com/movies/?page=weekly&id=parker.htm,2575371,811,16556024,35,3,2013
February 8-14 2013,Beautiful Creatures (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=beautifulcreatures13.htm,2542317,2950,2542317,60,-,2013
February 8-14 2013,Life of Pi,http://www.boxofficemojo.com/movies/?page=weekly&id=lifeofpi.htm,2517396,713,109301901,120,12,2013
February 8-14 2013,Les Miserables (2012),http://www.boxofficemojo.com/movies/?page=weekly&id=lesmiserables2012.htm,2237825,903,144665980,61,7,2013
February 8-14 2013,The Hobbit: An Unexpected Journey,http://www.boxofficemojo.com/movies/?page=weekly&id=hobbit.htm,2019293,1001,298884345,0,9,2013
February 8-14 2013,Quartet,http://www.boxofficemojo.com/movies/?page=weekly&id=quartet.htm,1516530,333,5576017,0,5,2013
February 8-14 2013,Parental Guidance,http://www.boxofficemojo.com/movies/?page=weekly&id=parentalguidance.htm,1391370,642,74663860,25,7,2013
February 8-14 2013,Wreck-It Ralph,http://www.boxofficemojo.com/movies/?page=weekly&id=rebootralph.htm,1385144,601,184733859,165,15,2013
February 8-14 2013,The Impossible,http://www.boxofficemojo.com/movies/?page=weekly&id=impossible.htm,1315907,523,17026651,0,8,2013
February 8-14 2013,Gangster Squad,http://www.boxofficemojo.com/movies/?page=weekly&id=gangstersquad.htm,1210711,942,45144551,60,5,2013
February 8-14 2013,A Haunted House,http://www.boxofficemojo.com/movies/?page=weekly&id=hauntedhouse.htm,1027378,913,39247771,2.5,5,2013
February 8-14 2013,Stand Up Guys,http://www.boxofficemojo.com/movies/?page=weekly&id=standupguys.htm,935293,670,3055057,0,2,2013
February 8-14 2013,Broken City,http://www.boxofficemojo.com/movies/?page=weekly&id=brokencity.htm,661448,194,19404912,35,4,2013
February 8-14 2013,Skyfall,http://www.boxofficemojo.com/movies/?page=weekly&id=bond23.htm,605091,370,303630997,200,14,2013
February 8-14 2013,Amour,http://www.boxofficemojo.com/movies/?page=weekly&id=amour.htm,580251,125,3223129,8.9,8,2013
February 8-14 2013,2013 Oscar Nominated Short Films,http://www.boxofficemojo.com/movies/?page=weekly&id=2013oscar.htm,558934,151,1095937,0,2,2013
February 8-14 2013,Movie 43,http://www.boxofficemojo.com/movies/?page=weekly&id=movie43.htm,378851,35,8760314,6,3,2013
February 8-14 2013,Rise of the Guardians,http://www.boxofficemojo.com/movies/?page=weekly&id=guardians.htm,347951,338,100959575,145,12,2013
February 8-14 2013,Jack Reacher,http://www.boxofficemojo.com/movies/?page=weekly&id=oneshot.htm,324744,223,79205985,60,8,2013
February 8-14 2013,Monsters, Inc. (3D),http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc3d.htm,278990,236,33157008,0,8,2013
February 8-14 2013,This Is 40,http://www.boxofficemojo.com/movies/?page=weekly&id=apatow.htm,272425,204,67333440,35,8,2013
February 8-14 2013,Hyde Park on Hudson,http://www.boxofficemojo.com/movies/?page=weekly&id=hydepark.htm,218016,130,5913448,0,10,2013
February 8-14 2013,Hotel Transylvania,http://www.boxofficemojo.com/movies/?page=weekly&id=hoteltransylvania.htm,199662,191,148191464,85,20,2013
February 8-14 2013,Beasts of the Southern Wild,http://www.boxofficemojo.com/movies/?page=weekly&id=beastsofthesouthernwild.htm,182091,97,12120233,0,33,2013
February 8-14 2013,The Twilight Saga: Breaking Dawn Part 2,http://www.boxofficemojo.com/movies/?page=weekly&id=breakingdawn2.htm,164038,254,291493506,120,13,2013
February 8-14 2013,The Guilt Trip,http://www.boxofficemojo.com/movies/?page=weekly&id=mymotherscurse.htm,155542,143,36743079,40,8,2013
February 8-14 2013,Texas Chainsaw 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=texaschainsaw3d.htm,144986,156,34229035,0,6,2013
February 8-14 2013,A Royal Affair,http://www.boxofficemojo.com/movies/?page=weekly&id=aroyalaffair.htm,127808,37,1174364,0,14,2013
February 8-14 2013,ABCD (Any Body Can Dance),http://www.boxofficemojo.com/movies/?page=weekly&id=abcd2013.htm,126154,25,126154,0,1,2013
February 8-14 2013,Here Comes the Boom,http://www.boxofficemojo.com/movies/?page=weekly&id=herecomestheboom.htm,124096,144,45220472,0,18,2013
