weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
December 27-January 2 2014,Frozen,http://www.boxofficemojo.com/movies/?page=weekly&id=frozen2013.htm,57594728,3335,277116204,150,6,2013
December 27-January 2 2014,The Hobbit: The Desolation of Smaug,http://www.boxofficemojo.com/movies/?page=weekly&id=hobbit2.htm,52914876,3928,213384422,0,3,2013
December 27-January 2 2014,American Hustle,http://www.boxofficemojo.com/movies/?page=weekly&id=davido2013.htm,35068563,2507,75518916,40,3,2013
December 27-January 2 2014,Anchorman 2: The Legend Continues,http://www.boxofficemojo.com/movies/?page=weekly&id=anchorman2.htm,34562495,3507,98079513,50,2,2013
December 27-January 2 2014,The Wolf of Wall Street,http://www.boxofficemojo.com/movies/?page=weekly&id=wolfofwallstreet.htm,34103555,2537,49895114,100,1,2013
December 27-January 2 2014,Saving Mr. Banks,http://www.boxofficemojo.com/movies/?page=weekly&id=savingmrbanks.htm,26440772,2110,50263389,35,3,2013
December 27-January 2 2014,The Secret Life of Walter Mitty,http://www.boxofficemojo.com/movies/?page=weekly&id=waltermitty.htm,24874277,2909,37469237,90,1,2013
December 27-January 2 2014,The Hunger Games: Catching Fire,http://www.boxofficemojo.com/movies/?page=weekly&id=catchingfire.htm,19164547,2315,400088390,130,6,2013
December 27-January 2 2014,47 Ronin,http://www.boxofficemojo.com/movies/?page=weekly&id=47ronin.htm,16928245,2689,27630465,175,1,2013
December 27-January 2 2014,Walking with Dinosaurs,http://www.boxofficemojo.com/movies/?page=weekly&id=walkingwithdinosaurs.htm,13935287,3243,27603593,80,2,2013
December 27-January 2 2014,Grudge Match,http://www.boxofficemojo.com/movies/?page=weekly&id=grudgematch.htm,13391835,2838,19510057,40,1,2013
December 27-January 2 2014,Tyler Perry's A Madea Christmas,http://www.boxofficemojo.com/movies/?page=weekly&id=madeachristmas.htm,10995890,1788,47314966,0,3,2013
December 27-January 2 2014,Mandela: Long Walk to Freedom,http://www.boxofficemojo.com/movies/?page=weekly&id=mandela2013.htm,3696350,975,6005818,0,5,2013
December 27-January 2 2014,Philomena,http://www.boxofficemojo.com/movies/?page=weekly&id=philomena.htm,3465928,727,18143351,12,6,2013
December 27-January 2 2014,Believe,http://www.boxofficemojo.com/movies/?page=weekly&id=believe.htm,3126916,1037,5389916,5,1,2013
December 27-January 2 2014,Inside Llewyn Davis,http://www.boxofficemojo.com/movies/?page=weekly&id=insidellewyndavis.htm,2441635,161,5812350,0,4,2013
December 27-January 2 2014,Dhoom 3,http://www.boxofficemojo.com/movies/?page=weekly&id=dhoom3.htm,1777165,220,7536138,0,2,2013
December 27-January 2 2014,Nebraska,http://www.boxofficemojo.com/movies/?page=weekly&id=nebraska.htm,1411243,250,6385048,12,7,2013
December 27-January 2 2014,Her (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=her2013.htm,1322655,47,2264976,23,2,2013
December 27-January 2 2014,The Book Thief,http://www.boxofficemojo.com/movies/?page=weekly&id=bookthief.htm,1292116,481,18562608,0,8,2013
December 27-January 2 2014,Thor: The Dark World,http://www.boxofficemojo.com/movies/?page=weekly&id=thor2.htm,1245160,319,202972697,170,8,2013
December 27-January 2 2014,Cloudy with a Chance of Meatballs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=cloudy2.htm,1081396,303,117173709,78,14,2013
December 27-January 2 2014,Gravity,http://www.boxofficemojo.com/movies/?page=weekly&id=gravity.htm,1059022,175,255144426,100,13,2013
December 27-January 2 2014,12 Years a Slave,http://www.boxofficemojo.com/movies/?page=weekly&id=twelveyearsaslave.htm,717358,154,38143342,20,11,2013
December 27-January 2 2014,Dallas Buyers Club,http://www.boxofficemojo.com/movies/?page=weekly&id=dallasbuyersclub.htm,545392,124,15997188,5,9,2013
December 27-January 2 2014,Ender's Game,http://www.boxofficemojo.com/movies/?page=weekly&id=endersgame.htm,536286,249,61436312,110,9,2013
December 27-January 2 2014,Free Birds,http://www.boxofficemojo.com/movies/?page=weekly&id=turkeys.htm,476342,243,54684364,55,9,2013
December 27-January 2 2014,Last Vegas,http://www.boxofficemojo.com/movies/?page=weekly&id=lastvegas.htm,473592,221,62913353,28,9,2013
December 27-January 2 2014,Jackass Presents: Bad Grandpa,http://www.boxofficemojo.com/movies/?page=weekly&id=badgrandpa.htm,421529,257,101450640,15,10,2013
December 27-January 2 2014,The Best Man Holiday,http://www.boxofficemojo.com/movies/?page=weekly&id=bestman2.htm,353480,120,70386750,17,7,2013
December 27-January 2 2014,August: Osage County,http://www.boxofficemojo.com/movies/?page=weekly&id=augustosagecounty.htm,341769,5,341769,0,1,2013
December 27-January 2 2014,Captain Phillips,http://www.boxofficemojo.com/movies/?page=weekly&id=captainphillips.htm,285778,111,104713702,55,12,2013
December 27-January 2 2014,Hubble 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=hubble3d.htm,275180,10,41641355,0,198,2013
December 27-January 2 2014,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,252435,165,367860095,76,26,2013
December 27-January 2 2014,Delivery Man,http://www.boxofficemojo.com/movies/?page=weekly&id=deliveryman.htm,241156,136,29768751,26,6,2013
December 27-January 2 2014,Lone Survivor,http://www.boxofficemojo.com/movies/?page=weekly&id=lonesurvivor.htm,178861,2,241828,40,1,2013
December 27-January 2 2014,The Great Beauty,http://www.boxofficemojo.com/movies/?page=weekly&id=greatbeauty.htm,142636,42,859104,0,7,2013
December 27-January 2 2014,Homefront,http://www.boxofficemojo.com/movies/?page=weekly&id=homefront.htm,125450,75,20158898,22,5,2013
December 27-January 2 2014,Escape Plan,http://www.boxofficemojo.com/movies/?page=weekly&id=tomb.htm,125381,107,25013462,0,11,2013
December 27-January 2 2014,All Is Lost,http://www.boxofficemojo.com/movies/?page=weekly&id=allislost.htm,117628,67,6000578,0,11,2013
December 27-January 2 2014,Personal Tailor,http://www.boxofficemojo.com/movies/?page=weekly&id=personaltailor.htm,111494,9,314216,0,2,2013
December 27-January 2 2014,Out of the Furnace,http://www.boxofficemojo.com/movies/?page=weekly&id=outofthefurnace.htm,83698,102,11164449,22,4,2013
December 27-January 2 2014,Space Station 3-D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=spacestation3dimax.htm,67188,3,89512056,0,611,2013
December 27-January 2 2014,The Past,http://www.boxofficemojo.com/movies/?page=weekly&id=past.htm,66051,3,120055,0,2,2013
December 27-January 2 2014,The Invisible Woman,http://www.boxofficemojo.com/movies/?page=weekly&id=invisiblewoman.htm,65573,3,86689,0,1,2013
December 27-January 2 2014,Percy Jackson: Sea of Monsters,http://www.boxofficemojo.com/movies/?page=weekly&id=percyjackson2.htm,52802,53,68497529,90,21,2013
December 27-January 2 2014,Blue Is the Warmest Color,http://www.boxofficemojo.com/movies/?page=weekly&id=bluewarm.htm,50262,24,2038425,0,10,2013
December 27-January 2 2014,The Saratov Approach,http://www.boxofficemojo.com/movies/?page=weekly&id=saratovapproach.htm,45783,14,1552680,0,12,2013
December 27-January 2 2014,Enough Said,http://www.boxofficemojo.com/movies/?page=weekly&id=enoughsaid.htm,45698,27,17476405,0,15,2013
December 27-January 2 2014,Lee Daniels' The Butler,http://www.boxofficemojo.com/movies/?page=weekly&id=butler.htm,45356,34,116192311,30,20,2013
December 27-January 2 2014,Blue Jasmine,http://www.boxofficemojo.com/movies/?page=weekly&id=bluejasmine.htm,43990,24,33033616,0,23,2013
December 27-January 2 2014,Kill Your Darlings,http://www.boxofficemojo.com/movies/?page=weekly&id=killyourdarlings.htm,42887,28,970938,0,11,2013
December 27-January 2 2014,Journey to the South Pacific,http://www.boxofficemojo.com/movies/?page=weekly&id=journeytothesouthpacific.htm,35753,3,71038,0,5,2013
December 27-January 2 2014,The Christmas Candle,http://www.boxofficemojo.com/movies/?page=weekly&id=christmascandle.htm,21765,16,2258620,0,7,2013
December 27-January 2 2014,To the Arctic (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=tothearctic.htm,21116,9,13724574,0,89,2013
December 27-January 2 2014,Black Nativity,http://www.boxofficemojo.com/movies/?page=weekly&id=blacknativity.htm,19674,24,7008586,17.5,5,2013
December 27-January 2 2014,Wadjda (U.S. only),http://www.boxofficemojo.com/movies/?page=weekly&id=wadjda.htm,17981,16,1330174,0,16,2013
December 27-January 2 2014,Under the Sea 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=underthesea3d.htm,17052,3,32296872,0,255,2013
December 27-January 2 2014,The Armstrong Lie,http://www.boxofficemojo.com/movies/?page=weekly&id=armstronglie.htm,15896,14,339720,0,8,2013
December 27-January 2 2014,Is the Man Who Is Tall Happy?,http://www.boxofficemojo.com/movies/?page=weekly&id=mantall.htm,12685,13,128865,0,6,2013
December 27-January 2 2014,The Counselor,http://www.boxofficemojo.com/movies/?page=weekly&id=counselor.htm,12428,24,16956136,25,10,2013
December 27-January 2 2014,Deep Sea 3D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=deepsea3d.htm,10818,1,46042917,0,409,2013
December 27-January 2 2014,Oldboy (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=oldboy2013.htm,9397,21,2193658,30,5,2013
December 27-January 2 2014,Born to Be Wild (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=borntobewildimax.htm,8710,4,23362106,0,143,2013
December 27-January 2 2014,Puella Magi Madoka Magica the Movie: Rebellion,http://www.boxofficemojo.com/movies/?page=weekly&id=puellamagi13.htm,8668,4,374090,0,4,2013
December 27-January 2 2014,The Family (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=malavita.htm,8545,29,36914757,30,16,2013
December 27-January 2 2014,20 Feet from Stardom,http://www.boxofficemojo.com/movies/?page=weekly&id=20feetfromstardom.htm,8247,8,4814921,0,29,2013
December 27-January 2 2014,Don Jon,http://www.boxofficemojo.com/movies/?page=weekly&id=donjon.htm,7735,31,24471989,6,14,2013
December 27-January 2 2014,Bettie Page Reveals All,http://www.boxofficemojo.com/movies/?page=weekly&id=bettiepagerevealsall.htm,7328,5,75060,0,6,2013
December 27-January 2 2014,The Punk Singer,http://www.boxofficemojo.com/movies/?page=weekly&id=punksinger.htm,6589,10,111286,0,5,2013
December 27-January 2 2014,Austenland,http://www.boxofficemojo.com/movies/?page=weekly&id=austenland.htm,6058,5,2159041,0,20,2013
December 27-January 2 2014,I Am Divine,http://www.boxofficemojo.com/movies/?page=weekly&id=iamdivine.htm,5390,4,61564,0,12,2013
December 27-January 2 2014,Muscle Shoals,http://www.boxofficemojo.com/movies/?page=weekly&id=muscleshoals.htm,5208,7,669622,0,14,2013
December 27-January 2 2014,Maidentrip,http://www.boxofficemojo.com/movies/?page=weekly&id=maidentrip.htm,4846,3,7258,0,2,2013
December 27-January 2 2014,Broken Circle Breakdown,http://www.boxofficemojo.com/movies/?page=weekly&id=brokencirclebreakdown.htm,4566,5,101700,0,9,2013
December 27-January 2 2014,Go For Sisters,http://www.boxofficemojo.com/movies/?page=weekly&id=goforsisters.htm,3502,3,62107,0,8,2013
