weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
August 30-September 5 2013,Lee Daniels' The Butler,http://www.boxofficemojo.com/movies/?page=weekly&id=butler.htm,23736271,3330,83001377,30,3,2013
August 30-September 5 2013,One Direction: This is Us,http://www.boxofficemojo.com/movies/?page=weekly&id=onedirection.htm,19890510,2735,19890510,10,1,2013
August 30-September 5 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,18966986,3445,115918904,37,4,2013
August 30-September 5 2013,Instructions Not Included,http://www.boxofficemojo.com/movies/?page=weekly&id=instructionsnotincluded.htm,12211604,348,12211604,0,1,2013
August 30-September 5 2013,Planes,http://www.boxofficemojo.com/movies/?page=weekly&id=planes.htm,11916514,3259,75004184,50,4,2013
August 30-September 5 2013,Elysium,http://www.boxofficemojo.com/movies/?page=weekly&id=elysium.htm,9873538,2539,81977267,115,4,2013
August 30-September 5 2013,The Mortal Instruments: City of Bones,http://www.boxofficemojo.com/movies/?page=weekly&id=mortalinstruments.htm,8190020,3118,25644204,60,2,2013
August 30-September 5 2013,The World's End,http://www.boxofficemojo.com/movies/?page=weekly&id=worldsend.htm,7660383,1553,19469617,20,2,2013
August 30-September 5 2013,Percy Jackson: Sea of Monsters,http://www.boxofficemojo.com/movies/?page=weekly&id=percyjackson2.htm,6807747,2393,57347766,90,4,2013
August 30-September 5 2013,Getaway (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=getaway2013.htm,6488679,2130,6488679,18,1,2013
August 30-September 5 2013,Blue Jasmine,http://www.boxofficemojo.com/movies/?page=weekly&id=bluejasmine.htm,6294418,1179,22760886,0,6,2013
August 30-September 5 2013,You're Next,http://www.boxofficemojo.com/movies/?page=weekly&id=yourenext.htm,5982783,2437,15322491,0,2,2013
August 30-September 5 2013,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,4160020,1284,356098810,76,9,2013
August 30-September 5 2013,2 Guns,http://www.boxofficemojo.com/movies/?page=weekly&id=2guns.htm,3957880,1411,70667785,61,5,2013
August 30-September 5 2013,The Grandmaster,http://www.boxofficemojo.com/movies/?page=weekly&id=grandmasters.htm,3732386,749,3928430,0,2,2013
August 30-September 5 2013,Closed Circuit,http://www.boxofficemojo.com/movies/?page=weekly&id=closedcircuit.htm,3573668,870,4085514,0,1,2013
August 30-September 5 2013,The Smurfs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=smurfs2.htm,3120963,1366,67275199,105,5,2013
August 30-September 5 2013,Kick-Ass 2,http://www.boxofficemojo.com/movies/?page=weekly&id=kickass2.htm,2929990,1646,27459035,28,3,2013
August 30-September 5 2013,The Wolverine,http://www.boxofficemojo.com/movies/?page=weekly&id=wolverine2.htm,2553657,988,128662539,120,6,2013
August 30-September 5 2013,Monsters University,http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc2.htm,2534703,1889,264537017,0,11,2013
August 30-September 5 2013,The Conjuring,http://www.boxofficemojo.com/movies/?page=weekly&id=conjuring.htm,1990748,903,134463658,20,7,2013
August 30-September 5 2013,World War Z,http://www.boxofficemojo.com/movies/?page=weekly&id=worldwarz.htm,1896706,1247,200920537,190,11,2013
August 30-September 5 2013,Jobs,http://www.boxofficemojo.com/movies/?page=weekly&id=jobs.htm,1850795,1302,15115112,12,3,2013
August 30-September 5 2013,The Spectacular Now,http://www.boxofficemojo.com/movies/?page=weekly&id=spectacularnow.htm,1751237,385,4093515,0,5,2013
August 30-September 5 2013,Star Trek Into Darkness,http://www.boxofficemojo.com/movies/?page=weekly&id=startrek12.htm,1255671,958,228696481,190,16,2013
August 30-September 5 2013,Pacific Rim,http://www.boxofficemojo.com/movies/?page=weekly&id=pacificrim.htm,1137543,401,100514594,190,8,2013
August 30-September 5 2013,Turbo,http://www.boxofficemojo.com/movies/?page=weekly&id=turbo.htm,1137238,438,80184721,135,7,2013
August 30-September 5 2013,The Way, Way Back,http://www.boxofficemojo.com/movies/?page=weekly&id=waywayback.htm,1129355,654,19949928,0,9,2013
August 30-September 5 2013,Grown Ups 2,http://www.boxofficemojo.com/movies/?page=weekly&id=grownups2.htm,1049865,471,130274022,80,8,2013
August 30-September 5 2013,The Heat,http://www.boxofficemojo.com/movies/?page=weekly&id=bullockmccarthy.htm,906329,393,157531986,43,10,2013
August 30-September 5 2013,Now You See Me,http://www.boxofficemojo.com/movies/?page=weekly&id=nowyouseeme.htm,594413,239,117192258,75,14,2013
August 30-September 5 2013,Satyagraha,http://www.boxofficemojo.com/movies/?page=weekly&id=satyagraha.htm,570151,83,570151,0,1,2013
August 30-September 5 2013,The Lone Ranger,http://www.boxofficemojo.com/movies/?page=weekly&id=loneranger.htm,557398,254,88624301,215,9,2013
August 30-September 5 2013,Red 2,http://www.boxofficemojo.com/movies/?page=weekly&id=red2.htm,533634,261,52279730,84,7,2013
August 30-September 5 2013,In a World,http://www.boxofficemojo.com/movies/?page=weekly&id=inaworld.htm,524787,91,1388257,0,4,2013
August 30-September 5 2013,Man of Steel,http://www.boxofficemojo.com/movies/?page=weekly&id=superman2012.htm,444575,284,290804657,225,12,2013
August 30-September 5 2013,White House Down,http://www.boxofficemojo.com/movies/?page=weekly&id=whitehousedown.htm,350829,306,72880591,150,10,2013
August 30-September 5 2013,Austenland,http://www.boxofficemojo.com/movies/?page=weekly&id=austenland.htm,334820,52,564187,0,3,2013
August 30-September 5 2013,R.I.P.D.,http://www.boxofficemojo.com/movies/?page=weekly&id=ripd.htm,321350,181,33124445,130,7,2013
August 30-September 5 2013,Chennai Express,http://www.boxofficemojo.com/movies/?page=weekly&id=chennaiexpress.htm,320036,93,5154831,0,4,2013
August 30-September 5 2013,Fruitvale Station,http://www.boxofficemojo.com/movies/?page=weekly&id=fruitvale.htm,319871,294,15653043,0,8,2013
August 30-September 5 2013,Paranoia,http://www.boxofficemojo.com/movies/?page=weekly&id=paranoia.htm,273893,392,7135357,35,3,2013
August 30-September 5 2013,Iron Man 3,http://www.boxofficemojo.com/movies/?page=weekly&id=ironman3.htm,269113,160,408913036,200,18,2013
August 30-September 5 2013,Blackfish,http://www.boxofficemojo.com/movies/?page=weekly&id=blackfish.htm,167445,82,1886953,0,7,2013
August 30-September 5 2013,Short Term 12,http://www.boxofficemojo.com/movies/?page=weekly&id=shortterm12.htm,149213,16,225676,0,2,2013
August 30-September 5 2013,20 Feet from Stardom,http://www.boxofficemojo.com/movies/?page=weekly&id=20feetfromstardom.htm,142601,58,4436372,0,12,2013
August 30-September 5 2013,This is the End,http://www.boxofficemojo.com/movies/?page=weekly&id=rogenhilluntitled.htm,140733,34,96946087,32,12,2013
August 30-September 5 2013,Hubble 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=hubble3d.htm,110518,12,40262268,0,181,2013
August 30-September 5 2013,Ain't Them Bodies Saints,http://www.boxofficemojo.com/movies/?page=weekly&id=aintthembodiessaints.htm,109209,40,250135,0,3,2013
August 30-September 5 2013,Fast & Furious 6,http://www.boxofficemojo.com/movies/?page=weekly&id=fast6.htm,107960,59,238679850,160,15,2013
August 30-September 5 2013,Epic,http://www.boxofficemojo.com/movies/?page=weekly&id=leafmen.htm,74113,80,107458140,100,15,2013
August 30-September 5 2013,Drinking Buddies,http://www.boxofficemojo.com/movies/?page=weekly&id=drinkingbuddies.htm,72677,12,101724,0,2,2013
August 30-September 5 2013,The Attack,http://www.boxofficemojo.com/movies/?page=weekly&id=attack.htm,66891,18,1589939,0,11,2013
August 30-September 5 2013,Therese,http://www.boxofficemojo.com/movies/?page=weekly&id=therese2013.htm,59069,8,90423,0,2,2013
August 30-September 5 2013,Passion,http://www.boxofficemojo.com/movies/?page=weekly&id=passion.htm,55620,14,55620,0,1,2013
August 30-September 5 2013,The Croods,http://www.boxofficemojo.com/movies/?page=weekly&id=croods.htm,49205,45,187136275,135,24,2013
August 30-September 5 2013,Museum Hours,http://www.boxofficemojo.com/movies/?page=weekly&id=museumhours.htm,44175,14,380248,0,10,2013
August 30-September 5 2013,Cutie and the Boxer,http://www.boxofficemojo.com/movies/?page=weekly&id=cutieandtheboxer.htm,40308,12,118119,0,3,2013
