weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
June 7-13 2013,The Purge,http://www.boxofficemojo.com/movies/?page=weekly&id=purge.htm,43644850,2536,43644850,3,1,2013
June 7-13 2013,Now You See Me,http://www.boxofficemojo.com/movies/?page=weekly&id=nowyouseeme.htm,27815419,3020,69689443,75,2,2013
June 7-13 2013,Fast & Furious 6,http://www.boxofficemojo.com/movies/?page=weekly&id=fast6.htm,26954930,3771,210140625,160,3,2013
June 7-13 2013,The Internship,http://www.boxofficemojo.com/movies/?page=weekly&id=internship.htm,23951361,3366,23951361,58,1,2013
June 7-13 2013,Epic,http://www.boxofficemojo.com/movies/?page=weekly&id=leafmen.htm,17374067,3390,89428623,100,3,2013
June 7-13 2013,Star Trek Into Darkness,http://www.boxofficemojo.com/movies/?page=weekly&id=startrek12.htm,16390255,3152,204830694,190,4,2013
June 7-13 2013,After Earth,http://www.boxofficemojo.com/movies/?page=weekly&id=1000ae.htm,15072446,3401,50464015,130,2,2013
June 7-13 2013,This is the End,http://www.boxofficemojo.com/movies/?page=weekly&id=rogenhilluntitled.htm,12308135,3055,12308135,32,-,2013
June 7-13 2013,Man of Steel,http://www.boxofficemojo.com/movies/?page=weekly&id=superman2012.htm,12062124,0,12062124,225,-,2013
June 7-13 2013,The Hangover Part III,http://www.boxofficemojo.com/movies/?page=weekly&id=hangover3.htm,10256596,3242,105250552,103,3,2013
June 7-13 2013,Iron Man 3,http://www.boxofficemojo.com/movies/?page=weekly&id=ironman3.htm,8172574,2193,396702239,200,6,2013
June 7-13 2013,The Great Gatsby (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=greatgatsby2012.htm,6358423,2160,138303541,105,5,2013
June 7-13 2013,Mud,http://www.boxofficemojo.com/movies/?page=weekly&id=mud.htm,1648167,580,19075662,0,7,2013
June 7-13 2013,The Croods,http://www.boxofficemojo.com/movies/?page=weekly&id=croods.htm,1157059,384,182081097,135,12,2013
June 7-13 2013,Yeh Jawaani Hai Deewani,http://www.boxofficemojo.com/movies/?page=weekly&id=yeijawaanihaideewani.htm,1030811,161,3083236,0,2,2013
June 7-13 2013,Frances Ha,http://www.boxofficemojo.com/movies/?page=weekly&id=francisha.htm,795600,233,2583166,0,4,2013
June 7-13 2013,Before Midnight,http://www.boxofficemojo.com/movies/?page=weekly&id=beforemidnight.htm,738565,52,1672249,0,3,2013
June 7-13 2013,Oz The Great and Powerful,http://www.boxofficemojo.com/movies/?page=weekly&id=oz.htm,635669,322,233932537,215,14,2013
June 7-13 2013,42,http://www.boxofficemojo.com/movies/?page=weekly&id=42.htm,534589,370,93095368,40,9,2013
June 7-13 2013,Oblivion,http://www.boxofficemojo.com/movies/?page=weekly&id=oblivion.htm,368260,298,88594710,120,8,2013
June 7-13 2013,The East,http://www.boxofficemojo.com/movies/?page=weekly&id=east.htm,313864,41,421305,0,2,2013
June 7-13 2013,The Kings of Summer,http://www.boxofficemojo.com/movies/?page=weekly&id=kingsofsummer.htm,310336,44,391944,0,2,2013
June 7-13 2013,Olympus Has Fallen,http://www.boxofficemojo.com/movies/?page=weekly&id=olympushasfallen.htm,304524,236,98218385,70,12,2013
June 7-13 2013,Love is All You Need,http://www.boxofficemojo.com/movies/?page=weekly&id=loveisallyouneed.htm,292606,101,1068809,0,6,2013
June 7-13 2013,G.I. Joe: Retaliation,http://www.boxofficemojo.com/movies/?page=weekly&id=gijoe2.htm,278900,236,121997927,130,11,2013
June 7-13 2013,Much Ado About Nothing (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=muchado13.htm,227033,5,227033,0,1,2013
June 7-13 2013,What Maisie Knew,http://www.boxofficemojo.com/movies/?page=weekly&id=whatmaisieknew.htm,224925,122,847011,0,6,2013
June 7-13 2013,Stories We Tell,http://www.boxofficemojo.com/movies/?page=weekly&id=storieswetell.htm,211400,70,1160802,0,5,2013
June 7-13 2013,Escape From Planet Earth,http://www.boxofficemojo.com/movies/?page=weekly&id=escapefromplanetearth.htm,188136,182,56629347,40,17,2013
June 7-13 2013,Kon-Tiki,http://www.boxofficemojo.com/movies/?page=weekly&id=kontiki.htm,172004,75,1135487,0,7,2013
June 7-13 2013,Pain and Gain,http://www.boxofficemojo.com/movies/?page=weekly&id=painandgain.htm,137553,175,49253291,26,7,2013
June 7-13 2013,Hubble 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=hubble3d.htm,136355,21,38390080,0,169,2013
June 7-13 2013,Fill the Void,http://www.boxofficemojo.com/movies/?page=weekly&id=fillthevoid.htm,124687,13,302398,0,3,2013
June 7-13 2013,The Place Beyond the Pines,http://www.boxofficemojo.com/movies/?page=weekly&id=placebeyondthepines.htm,114075,134,21296909,15,11,2013
June 7-13 2013,Tyler Perry Presents Peeples,http://www.boxofficemojo.com/movies/?page=weekly&id=wethepeeples.htm,113257,130,9177065,15,5,2013
June 7-13 2013,Renoir,http://www.boxofficemojo.com/movies/?page=weekly&id=renoir.htm,102714,57,2042364,0,11,2013
June 7-13 2013,The Iceman (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=iceman2013.htm,99865,67,1884926,0,6,2013
June 7-13 2013,Dirty Wars,http://www.boxofficemojo.com/movies/?page=weekly&id=dirtywars.htm,88778,4,88778,0,1,2013
June 7-13 2013,Lost and Found in Armenia,http://www.boxofficemojo.com/movies/?page=weekly&id=lostandfoundinarmenia.htm,74435,9,74435,0,1,2013
June 7-13 2013,The Big Wedding,http://www.boxofficemojo.com/movies/?page=weekly&id=bigwedding.htm,73489,92,21396904,35,7,2013
June 7-13 2013,The Sapphires,http://www.boxofficemojo.com/movies/?page=weekly&id=sapphires.htm,67126,55,2303336,0,12,2013
June 7-13 2013,Hannah Arendt,http://www.boxofficemojo.com/movies/?page=weekly&id=hannaharendt.htm,58879,5,126505,0,2,2013
June 7-13 2013,Quartet,http://www.boxofficemojo.com/movies/?page=weekly&id=quartet.htm,58258,114,18326014,0,22,2013
June 7-13 2013,To the Arctic (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=tothearctic.htm,57500,52,12776468,0,60,2013
June 7-13 2013,We Steal Secrets: The Story of Wikileaks,http://www.boxofficemojo.com/movies/?page=weekly&id=westealsecrets.htm,55966,25,148416,0,3,2013
June 7-13 2013,The Company You Keep,http://www.boxofficemojo.com/movies/?page=weekly&id=companyyoukeep.htm,51364,51,4960870,0,10,2013
June 7-13 2013,Scatter My Ashes at Bergdorf's,http://www.boxofficemojo.com/movies/?page=weekly&id=scattermyashes.htm,44247,29,441024,0,6,2013
June 7-13 2013,Jack the Giant Slayer,http://www.boxofficemojo.com/movies/?page=weekly&id=jackthegiantkiller.htm,42759,58,65187603,195,15,2013
June 7-13 2013,Space Station 3-D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=spacestation3dimax.htm,42706,4,88013960,0,582,2013
June 7-13 2013,Born to Be Wild (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=borntobewildimax.htm,36098,30,22783381,0,114,2013
June 7-13 2013,Wish You Were Here (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=wishyouwerehere2013.htm,35745,11,35745,0,1,2013
June 7-13 2013,Under the Sea 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=underthesea3d.htm,32116,11,31656393,0,226,2013
June 7-13 2013,Not Today,http://www.boxofficemojo.com/movies/?page=weekly&id=nottoday.htm,28576,19,284373,0,9,2013
June 7-13 2013,Scary Movie 5,http://www.boxofficemojo.com/movies/?page=weekly&id=scarymovie5.htm,23651,51,31443257,20,9,2013
June 7-13 2013,Life of Pi,http://www.boxofficemojo.com/movies/?page=weekly&id=lifeofpi.htm,23184,25,124941278,120,29,2013
June 7-13 2013,Bill W.,http://www.boxofficemojo.com/movies/?page=weekly&id=billw.htm,23084,28,809590,0,36,2013
June 7-13 2013,The Reluctant Fundamentalist,http://www.boxofficemojo.com/movies/?page=weekly&id=reluctantfundamentalist.htm,20426,21,528731,0,7,2013
June 7-13 2013,Shadow Dancer,http://www.boxofficemojo.com/movies/?page=weekly&id=shadowdancer.htm,17242,6,32048,0,2,2013
June 7-13 2013,Violet & Daisy,http://www.boxofficemojo.com/movies/?page=weekly&id=violetdaisy.htm,17186,17,17186,0,1,2013
June 7-13 2013,Tiger Eyes,http://www.boxofficemojo.com/movies/?page=weekly&id=tigereyes.htm,17041,17,17041,0,1,2013
June 7-13 2013,Deep Sea 3D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=deepsea3d.htm,15479,6,45623381,0,380,2013
June 7-13 2013,Going Attractions: The Definitive Story of the American Drive-in Movie,http://www.boxofficemojo.com/movies/?page=weekly&id=goingattractions.htm,15306,3,15306,0,1,2013
June 7-13 2013,The United States of Autism,http://www.boxofficemojo.com/movies/?page=weekly&id=usautism.htm,14609,12,69354,0.065,10,2013
June 7-13 2013,Ain't In It For My Health: A Film About Levon Helm,http://www.boxofficemojo.com/movies/?page=weekly&id=levonhelm.htm,13836,4,67913,0,8,2013
June 7-13 2013,At Any Price,http://www.boxofficemojo.com/movies/?page=weekly&id=atanyprice.htm,12311,18,350014,0,7,2013
