weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
June 21-27 2013,Monsters University,http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc2.htm,124825448,4004,124825448,0,1,2013
June 21-27 2013,World War Z,http://www.boxofficemojo.com/movies/?page=weekly&id=worldwarz.htm,93922294,3607,93922294,190,1,2013
June 21-27 2013,Man of Steel,http://www.boxofficemojo.com/movies/?page=weekly&id=superman2012.htm,59049159,4207,227840106,225,2,2013
June 21-27 2013,This is the End,http://www.boxofficemojo.com/movies/?page=weekly&id=rogenhilluntitled.htm,21189485,3055,65981009,32,2,2013
June 21-27 2013,Now You See Me,http://www.boxofficemojo.com/movies/?page=weekly&id=nowyouseeme.htm,12599615,2823,99180591,75,4,2013
June 21-27 2013,Fast & Furious 6,http://www.boxofficemojo.com/movies/?page=weekly&id=fast6.htm,7215300,2417,230902770,160,5,2013
June 21-27 2013,The Purge,http://www.boxofficemojo.com/movies/?page=weekly&id=purge.htm,5546275,2201,61562720,3,3,2013
June 21-27 2013,The Internship,http://www.boxofficemojo.com/movies/?page=weekly&id=internship.htm,5340581,1916,40280086,58,3,2013
June 21-27 2013,Star Trek Into Darkness,http://www.boxofficemojo.com/movies/?page=weekly&id=startrek12.htm,4849951,1565,218460867,190,6,2013
June 21-27 2013,The Bling Ring,http://www.boxofficemojo.com/movies/?page=weekly&id=blingring.htm,3172064,650,3513305,0,2,2013
June 21-27 2013,Iron Man 3,http://www.boxofficemojo.com/movies/?page=weekly&id=ironman3.htm,3086834,924,404032056,200,8,2013
June 21-27 2013,Epic,http://www.boxofficemojo.com/movies/?page=weekly&id=leafmen.htm,2934400,1994,102189525,100,5,2013
June 21-27 2013,After Earth,http://www.boxofficemojo.com/movies/?page=weekly&id=1000ae.htm,1481861,1166,57924070,130,4,2013
June 21-27 2013,Before Midnight,http://www.boxofficemojo.com/movies/?page=weekly&id=beforemidnight.htm,1359648,441,5077291,0,5,2013
June 21-27 2013,Much Ado About Nothing (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=muchado13.htm,1145153,206,1617747,0,3,2013
June 21-27 2013,The Hangover Part III,http://www.boxofficemojo.com/movies/?page=weekly&id=hangover3.htm,1063961,530,110360429,103,5,2013
June 21-27 2013,The Great Gatsby (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=greatgatsby2012.htm,990573,362,141988676,105,7,2013
June 21-27 2013,The Croods,http://www.boxofficemojo.com/movies/?page=weekly&id=croods.htm,889645,324,183952270,135,14,2013
June 21-27 2013,Raanjhana,http://www.boxofficemojo.com/movies/?page=weekly&id=raanjhana.htm,562661,102,562661,0,1,2013
June 21-27 2013,The East,http://www.boxofficemojo.com/movies/?page=weekly&id=east.htm,542123,195,1385064,0,4,2013
June 21-27 2013,Mud,http://www.boxofficemojo.com/movies/?page=weekly&id=mud.htm,469610,213,20364925,0,9,2013
June 21-27 2013,42,http://www.boxofficemojo.com/movies/?page=weekly&id=42.htm,434122,325,94380428,40,11,2013
June 21-27 2013,Oz The Great and Powerful,http://www.boxofficemojo.com/movies/?page=weekly&id=oz.htm,306351,233,234668782,215,16,2013
June 21-27 2013,Fill the Void,http://www.boxofficemojo.com/movies/?page=weekly&id=fillthevoid.htm,285216,46,728175,0,5,2013
June 21-27 2013,Frances Ha,http://www.boxofficemojo.com/movies/?page=weekly&id=francisha.htm,282622,138,3322108,0,6,2013
June 21-27 2013,Oblivion,http://www.boxofficemojo.com/movies/?page=weekly&id=oblivion.htm,222180,201,89107235,120,10,2013
June 21-27 2013,The Kings of Summer,http://www.boxofficemojo.com/movies/?page=weekly&id=kingsofsummer.htm,210022,65,840720,0,4,2013
June 21-27 2013,Olympus Has Fallen,http://www.boxofficemojo.com/movies/?page=weekly&id=olympushasfallen.htm,201457,177,98667852,70,14,2013
June 21-27 2013,Yeh Jawaani Hai Deewani,http://www.boxofficemojo.com/movies/?page=weekly&id=yeijawaanihaideewani.htm,185229,161,3690742,0,4,2013
June 21-27 2013,G.I. Joe: Retaliation,http://www.boxofficemojo.com/movies/?page=weekly&id=gijoe2.htm,149070,139,122321571,130,13,2013
June 21-27 2013,Hubble 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=hubble3d.htm,142835,15,38679983,0,171,2013
June 21-27 2013,Scary Movie 5,http://www.boxofficemojo.com/movies/?page=weekly&id=scarymovie5.htm,135051,134,31725735,20,11,2013
June 21-27 2013,The Big Wedding,http://www.boxofficemojo.com/movies/?page=weekly&id=bigwedding.htm,128694,141,21669861,35,9,2013
June 21-27 2013,20 Feet from Stardom,http://www.boxofficemojo.com/movies/?page=weekly&id=20feetfromstardom.htm,98152,6,182879,0,2,2013
June 21-27 2013,Love is All You Need,http://www.boxofficemojo.com/movies/?page=weekly&id=loveisallyouneed.htm,97442,44,1321269,0,8,2013
June 21-27 2013,Escape From Planet Earth,http://www.boxofficemojo.com/movies/?page=weekly&id=escapefromplanetearth.htm,81195,138,56822059,40,19,2013
June 21-27 2013,Kon-Tiki,http://www.boxofficemojo.com/movies/?page=weekly&id=kontiki.htm,78724,53,1334639,0,9,2013
June 21-27 2013,Dirty Wars,http://www.boxofficemojo.com/movies/?page=weekly&id=dirtywars.htm,72154,20,230470,0,3,2013
June 21-27 2013,Stories We Tell,http://www.boxofficemojo.com/movies/?page=weekly&id=storieswetell.htm,67996,33,1357141,0,7,2013
June 21-27 2013,A Hijacking,http://www.boxofficemojo.com/movies/?page=weekly&id=ahijacking.htm,60180,7,60180,0,1,2013
June 21-27 2013,Somm,http://www.boxofficemojo.com/movies/?page=weekly&id=somm.htm,56469,5,136253,0,1,2013
June 21-27 2013,To the Arctic (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=tothearctic.htm,55206,52,12888944,0,62,2013
June 21-27 2013,The Company You Keep,http://www.boxofficemojo.com/movies/?page=weekly&id=companyyoukeep.htm,51889,65,5059977,0,12,2013
June 21-27 2013,What Maisie Knew,http://www.boxofficemojo.com/movies/?page=weekly&id=whatmaisieknew.htm,51780,33,977746,0,8,2013
June 21-27 2013,The Place Beyond the Pines,http://www.boxofficemojo.com/movies/?page=weekly&id=placebeyondthepines.htm,49798,53,21403519,15,13,2013
June 21-27 2013,Born to Be Wild (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=borntobewildimax.htm,46808,30,22876258,0,116,2013
June 21-27 2013,The Attack,http://www.boxofficemojo.com/movies/?page=weekly&id=attack.htm,42380,3,42180,0,1,2013
June 21-27 2013,Space Station 3-D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=spacestation3dimax.htm,41685,7,88099972,0,584,2013
June 21-27 2013,Pain and Gain,http://www.boxofficemojo.com/movies/?page=weekly&id=painandgain.htm,39677,50,49349189,26,9,2013
June 21-27 2013,Unfinished Song,http://www.boxofficemojo.com/movies/?page=weekly&id=unfinishedsong.htm,39567,2,39567,0,1,2013
June 21-27 2013,The Sapphires,http://www.boxofficemojo.com/movies/?page=weekly&id=sapphires.htm,37195,29,2378084,0,14,2013
June 21-27 2013,Under the Sea 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=underthesea3d.htm,34366,10,31719581,0,228,2013
June 21-27 2013,Renoir,http://www.boxofficemojo.com/movies/?page=weekly&id=renoir.htm,32171,23,2126808,0,13,2013
June 21-27 2013,Hannah Arendt,http://www.boxofficemojo.com/movies/?page=weekly&id=hannaharendt.htm,31458,7,207458,0,4,2013
June 21-27 2013,Quartet,http://www.boxofficemojo.com/movies/?page=weekly&id=quartet.htm,21353,29,18390117,0,24,2013
June 21-27 2013,Fukrey,http://www.boxofficemojo.com/movies/?page=weekly&id=fukrey.htm,17953,57,122783,0,2,2013
June 21-27 2013,Girl Rising,http://www.boxofficemojo.com/movies/?page=weekly&id=girlrising.htm,17810,16,1435237,0,16,2013
June 21-27 2013,Lost and Found in Armenia,http://www.boxofficemojo.com/movies/?page=weekly&id=lostandfoundinarmenia.htm,15163,1,110493,0,3,2013
June 21-27 2013,Shadow Dancer,http://www.boxofficemojo.com/movies/?page=weekly&id=shadowdancer.htm,14060,10,83435,0,4,2013
June 21-27 2013,Deep Sea 3D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=deepsea3d.htm,13036,7,45654667,0,382,2013
June 21-27 2013,Augustine,http://www.boxofficemojo.com/movies/?page=weekly&id=augustine.htm,12414,9,60394,0,6,2013
June 21-27 2013,The Iceman (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=iceman2013.htm,12173,12,1926419,0,8,2013
June 21-27 2013,Galapagos (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=galapagosimax.htm,10988,5,18154024,0,713,2013
June 21-27 2013,Berberian Sound Studio,http://www.boxofficemojo.com/movies/?page=weekly&id=berberiansoundstudio.htm,10438,11,21996,0,2,2013
June 21-27 2013,Scatter My Ashes at Bergdorf's,http://www.boxofficemojo.com/movies/?page=weekly&id=scattermyashes.htm,9526,8,473619,0,8,2013
June 21-27 2013,Far Out Isn't Far Enough: The Tomi Ungerer Story,http://www.boxofficemojo.com/movies/?page=weekly&id=faroutisntfarenough.htm,8109,5,14147,0,2,2013
June 21-27 2013,Pandora's Promise,http://www.boxofficemojo.com/movies/?page=weekly&id=pandoraspromise.htm,7691,5,42279,0,2,2013
June 21-27 2013,More Than Honey,http://www.boxofficemojo.com/movies/?page=weekly&id=morethanhoney.htm,7473,2,18119,0,2,2013
June 21-27 2013,Maniac (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=maniac2013.htm,7058,1,7058,0,1,2013
June 21-27 2013,Kings Faith,http://www.boxofficemojo.com/movies/?page=weekly&id=kingsfaith.htm,6637,5,82793,0,9,2013
June 21-27 2013,An Oversimplification of Her Beauty,http://www.boxofficemojo.com/movies/?page=weekly&id=oversimplification.htm,6454,3,53914,0,9,2013
June 21-27 2013,The English Teacher,http://www.boxofficemojo.com/movies/?page=weekly&id=englishteacher.htm,6434,1,57468,0,6,2013
June 21-27 2013,Hava Nagila (The Movie),http://www.boxofficemojo.com/movies/?page=weekly&id=havanagila.htm,6259,7,348259,0,17,2013
June 21-27 2013,To The Wonder,http://www.boxofficemojo.com/movies/?page=weekly&id=tothewonder.htm,5845,5,583044,0,11,2013
June 21-27 2013,Life of Pi,http://www.boxofficemojo.com/movies/?page=weekly&id=lifeofpi.htm,5818,16,124971583,120,31,2013
June 21-27 2013,One Track Heart: The Story of Krishna Das,http://www.boxofficemojo.com/movies/?page=weekly&id=onetrackheart.htm,5356,2,60480,0,7,2013
June 21-27 2013,Made in Cleveland,http://www.boxofficemojo.com/movies/?page=weekly&id=madeincleveland.htm,5198,5,8798,0,1,2013
June 21-27 2013,No Place on Earth,http://www.boxofficemojo.com/movies/?page=weekly&id=noplaceonearth.htm,5175,3,189611,0,12,2013
June 21-27 2013,Assaulted: Civil Rights Under Fire,http://www.boxofficemojo.com/movies/?page=weekly&id=assaulted.htm,5008,17,6632,0,1,2013
June 21-27 2013,Aliyah,http://www.boxofficemojo.com/movies/?page=weekly&id=aliyah.htm,4901,2,7329,0,2,2013
June 21-27 2013,How to Make Money Selling Drugs,http://www.boxofficemojo.com/movies/?page=weekly&id=howtomake.htm,4812,1,4812,0,-,2013
June 21-27 2013,Becoming Traviata,http://www.boxofficemojo.com/movies/?page=weekly&id=becomingtraviata.htm,4508,5,52802,0,6,2013
June 21-27 2013,Not Today,http://www.boxofficemojo.com/movies/?page=weekly&id=nottoday.htm,3917,3,297587,0,11,2013
June 21-27 2013,Evocateur: The Morton Downey Jr. Movie,http://www.boxofficemojo.com/movies/?page=weekly&id=evocateur.htm,3306,4,10245,0,3,2013
June 21-27 2013,Ain't In It For My Health: A Film About Levon Helm,http://www.boxofficemojo.com/movies/?page=weekly&id=levonhelm.htm,3288,5,76931,0,10,2013
June 21-27 2013,Lore,http://www.boxofficemojo.com/movies/?page=weekly&id=lore.htm,3285,1,967733,0,20,2013
June 21-27 2013,At Any Price,http://www.boxofficemojo.com/movies/?page=weekly&id=atanyprice.htm,3210,5,357542,0,9,2013
June 21-27 2013,So Young,http://www.boxofficemojo.com/movies/?page=weekly&id=soyoung.htm,3199,2,11186,0,2,2013
June 21-27 2013,In the Fog,http://www.boxofficemojo.com/movies/?page=weekly&id=inthefog.htm,3159,2,6795,0,2,2013
June 21-27 2013,Wish You Were Here (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=wishyouwerehere2013.htm,3098,3,46347,0,3,2013
June 21-27 2013,Downloaded,http://www.boxofficemojo.com/movies/?page=weekly&id=downloaded.htm,2980,2,2980,0,1,2013
June 21-27 2013,Call Me Kuchu,http://www.boxofficemojo.com/movies/?page=weekly&id=callmekuchu.htm,2575,1,8214,0,2,2013
June 21-27 2013,Three Worlds,http://www.boxofficemojo.com/movies/?page=weekly&id=threeworlds.htm,2568,1,2568,0,1,2013
June 21-27 2013,The United States of Autism,http://www.boxofficemojo.com/movies/?page=weekly&id=usautism.htm,2510,2,78786,0.065,12,2013
June 21-27 2013,Tiger Eyes,http://www.boxofficemojo.com/movies/?page=weekly&id=tigereyes.htm,2447,2,26668,0,3,2013
June 21-27 2013,Storm Surfers 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=stormsurfers.htm,2112,1,38472,0,8,2013
June 21-27 2013,The Wall (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=wall2013.htm,2088,2,16200,0,4,2013
June 21-27 2013,Venus and Serena,http://www.boxofficemojo.com/movies/?page=weekly&id=venusandserena.htm,1909,2,51271,0,7,2013
June 21-27 2013,Midnight's Children,http://www.boxofficemojo.com/movies/?page=weekly&id=midnightschildren.htm,1892,2,172023,0,9,2013
June 21-27 2013,Post Tenebras Lux,http://www.boxofficemojo.com/movies/?page=weekly&id=posttenebraslux.htm,1702,3,37688,0,8,2013
June 21-27 2013,Searching for Sugar Man,http://www.boxofficemojo.com/movies/?page=weekly&id=searchingforsugarman.htm,1185,2,3688012,0,48,2013
June 21-27 2013,Free the Mind,http://www.boxofficemojo.com/movies/?page=weekly&id=freethemind.htm,1178,2,71431,0,8,2013
June 21-27 2013,Paradise: Love,http://www.boxofficemojo.com/movies/?page=weekly&id=paradiselove.htm,1102,1,24267,0,9,2013
June 21-27 2013,Upstream Color,http://www.boxofficemojo.com/movies/?page=weekly&id=upstreamcolor.htm,992,2,444098,0,12,2013
June 21-27 2013,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,http://www.boxofficemojo.com/movies/?page=weekly&id=rickyjay.htm,852,2,112819,0,10,2013
June 21-27 2013,The Silence,http://www.boxofficemojo.com/movies/?page=weekly&id=silence2013.htm,757,2,92500,0,16,2013
June 21-27 2013,Le Pont du Nord (2013 re-release),http://www.boxofficemojo.com/movies/?page=weekly&id=lepontdunord.htm,614,1,13154,0,9,2013
June 21-27 2013,Going Attractions: The Definitive Story of the American Drive-in Movie,http://www.boxofficemojo.com/movies/?page=weekly&id=goingattractions.htm,500,1,15806,0,3,2013
June 21-27 2013,The History of Future Folk,http://www.boxofficemojo.com/movies/?page=weekly&id=historyoffuturefolk.htm,440,1,12504,0,4,2013
June 21-27 2013,Pieta,http://www.boxofficemojo.com/movies/?page=weekly&id=pieta.htm,318,1,22080,0,6,2013
June 21-27 2013,Fritz Lang's 'M' (2013 re-release),http://www.boxofficemojo.com/movies/?page=weekly&id=m2013.htm,215,1,29092,0,14,2013
June 21-27 2013,Barbara,http://www.boxofficemojo.com/movies/?page=weekly&id=barbara.htm,89,3,312000,0,-,2013
