weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
May 10-16 2013,Iron Man 3,http://www.boxofficemojo.com/movies/?page=weekly&id=ironman3.htm,89470799,4253,301891883,200,2,2013
May 10-16 2013,The Great Gatsby (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=greatgatsby2012.htm,66743604,3535,66743604,105,1,2013
May 10-16 2013,Star Trek Into Darkness,http://www.boxofficemojo.com/movies/?page=weekly&id=startrek12.htm,13536422,3762,13536422,190,-,2013
May 10-16 2013,Pain and Gain,http://www.boxofficemojo.com/movies/?page=weekly&id=painandgain.htm,6866294,2610,43474494,26,3,2013
May 10-16 2013,42,http://www.boxofficemojo.com/movies/?page=weekly&id=42.htm,5922633,2545,86004512,40,5,2013
May 10-16 2013,Tyler Perry Presents Peeples,http://www.boxofficemojo.com/movies/?page=weekly&id=wethepeeples.htm,5707777,2041,5707777,15,1,2013
May 10-16 2013,Oblivion,http://www.boxofficemojo.com/movies/?page=weekly&id=oblivion.htm,5459345,2343,83250960,120,4,2013
May 10-16 2013,The Croods,http://www.boxofficemojo.com/movies/?page=weekly&id=croods.htm,4384706,2384,174000183,135,8,2013
May 10-16 2013,Mud,http://www.boxofficemojo.com/movies/?page=weekly&id=mud.htm,3407446,852,9427425,0,3,2013
May 10-16 2013,The Big Wedding,http://www.boxofficemojo.com/movies/?page=weekly&id=bigwedding.htm,3310293,2298,19097984,35,3,2013
May 10-16 2013,Love is All You Need,http://www.boxofficemojo.com/movies/?page=weekly&id=loveisallyouneed.htm,1601246,10,103232,0,2,2013
May 10-16 2013,Oz The Great and Powerful,http://www.boxofficemojo.com/movies/?page=weekly&id=oz.htm,1297676,774,230479996,215,10,2013
May 10-16 2013,Olympus Has Fallen,http://www.boxofficemojo.com/movies/?page=weekly&id=olympushasfallen.htm,1025057,836,96902681,70,8,2013
May 10-16 2013,The Place Beyond the Pines,http://www.boxofficemojo.com/movies/?page=weekly&id=placebeyondthepines.htm,1017471,468,20321007,15,7,2013
May 10-16 2013,Scary Movie 5,http://www.boxofficemojo.com/movies/?page=weekly&id=scarymovie5.htm,848093,1007,30786123,20,5,2013
May 10-16 2013,Jurassic Park 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=jurassicpark3d.htm,840510,543,44959420,10,6,2013
May 10-16 2013,G.I. Joe: Retaliation,http://www.boxofficemojo.com/movies/?page=weekly&id=gijoe2.htm,784976,506,119941867,130,7,2013
May 10-16 2013,The Company You Keep,http://www.boxofficemojo.com/movies/?page=weekly&id=companyyoukeep.htm,554781,394,4285031,0,6,2013
May 10-16 2013,Evil Dead (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=evildead2013.htm,412450,443,53877958,17,6,2013
May 10-16 2013,Jack the Giant Slayer,http://www.boxofficemojo.com/movies/?page=weekly&id=jackthegiantkiller.htm,322269,265,64557857,195,11,2013
May 10-16 2013,Identity Thief,http://www.boxofficemojo.com/movies/?page=weekly&id=identitythief.htm,252645,279,133774650,35,14,2013
May 10-16 2013,Tyler Perry's Temptation: Confessions of a Marriage Counselor,http://www.boxofficemojo.com/movies/?page=weekly&id=marriagecounselor.htm,247871,278,51760370,0,7,2013
May 10-16 2013,Renoir,http://www.boxofficemojo.com/movies/?page=weekly&id=renoir.htm,227883,86,1369171,0,7,2013
May 10-16 2013,Disconnect,http://www.boxofficemojo.com/movies/?page=weekly&id=disconnect.htm,222591,180,1362925,0,5,2013
May 10-16 2013,The Host (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=host2013.htm,220193,301,26429777,40,7,2013
May 10-16 2013,Go Goa Gone,http://www.boxofficemojo.com/movies/?page=weekly&id=gogoagone.htm,217081,92,217081,0,1,2013
May 10-16 2013,The Sapphires,http://www.boxofficemojo.com/movies/?page=weekly&id=sapphires.htm,190910,118,1890800,0,8,2013
May 10-16 2013,Home Run,http://www.boxofficemojo.com/movies/?page=weekly&id=homerun.htm,181372,131,2772828,0,4,2013
May 10-16 2013,Silver Linings Playbook,http://www.boxofficemojo.com/movies/?page=weekly&id=silverliningsplaybook.htm,178064,323,131981647,21,26,2013
May 10-16 2013,The Iceman (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=iceman2013.htm,171209,17,298738,0,2,2013
