weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
October 4-10 2013,Gravity,http://www.boxofficemojo.com/movies/?page=weekly&id=gravity.htm,79134919,3575,79134919,100,1,2013
October 4-10 2013,Cloudy with a Chance of Meatballs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=cloudy2.htm,24779951,4001,63836677,78,2,2013
October 4-10 2013,Runner Runner,http://www.boxofficemojo.com/movies/?page=weekly&id=runnerrunner.htm,10388958,3026,10388958,30,1,2013
October 4-10 2013,Prisoners,http://www.boxofficemojo.com/movies/?page=weekly&id=prisoners.htm,7774911,3236,49954879,46,3,2013
October 4-10 2013,Rush (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=rush2013.htm,6150950,2308,19837269,38,3,2013
October 4-10 2013,Don Jon,http://www.boxofficemojo.com/movies/?page=weekly&id=donjon.htm,5883833,2422,17801150,6,2,2013
October 4-10 2013,Baggage Claim,http://www.boxofficemojo.com/movies/?page=weekly&id=baggageclaim.htm,5137397,2230,16197478,0,2,2013
October 4-10 2013,Insidious Chapter 2,http://www.boxofficemojo.com/movies/?page=weekly&id=insidious2.htm,4923430,2607,75797017,5,4,2013
October 4-10 2013,Enough Said,http://www.boxofficemojo.com/movies/?page=weekly&id=enoughsaid.htm,3015003,437,6251599,0,3,2013
October 4-10 2013,Pulling Strings,http://www.boxofficemojo.com/movies/?page=weekly&id=pullingstrings.htm,2974468,387,2974468,0,1,2013
October 4-10 2013,Instructions Not Included,http://www.boxofficemojo.com/movies/?page=weekly&id=instructionsnotincluded.htm,2258392,858,41674488,0,6,2013
October 4-10 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,2133874,1606,145423887,37,9,2013
October 4-10 2013,The Family (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=malavita.htm,2118446,2023,35224349,30,4,2013
October 4-10 2013,Lee Daniels' The Butler,http://www.boxofficemojo.com/movies/?page=weekly&id=butler.htm,1743031,1563,112920771,30,8,2013
October 4-10 2013,Grace Unplugged,http://www.boxofficemojo.com/movies/?page=weekly&id=graceunplugged.htm,1224108,511,1224108,0,1,2013
October 4-10 2013,Metallica Through the Never,http://www.boxofficemojo.com/movies/?page=weekly&id=metallica2013.htm,922424,589,2963639,18,2,2013
October 4-10 2013,Riddick,http://www.boxofficemojo.com/movies/?page=weekly&id=riddick.htm,743635,795,41402555,38,5,2013
October 4-10 2013,Battle of the Year,http://www.boxofficemojo.com/movies/?page=weekly&id=planetbboy3d.htm,703987,907,8650483,20,3,2013
October 4-10 2013,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,603915,485,362554515,76,14,2013
October 4-10 2013,Monsters University,http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc2.htm,581846,250,266691155,0,16,2013
October 4-10 2013,Percy Jackson: Sea of Monsters,http://www.boxofficemojo.com/movies/?page=weekly&id=percyjackson2.htm,565663,513,66121053,90,9,2013
October 4-10 2013,Blue Jasmine,http://www.boxofficemojo.com/movies/?page=weekly&id=bluejasmine.htm,505597,289,31442382,0,11,2013
October 4-10 2013,Grown Ups 2,http://www.boxofficemojo.com/movies/?page=weekly&id=grownups2.htm,487042,335,132557029,80,13,2013
October 4-10 2013,Besharam,http://www.boxofficemojo.com/movies/?page=weekly&id=besharam.htm,445321,217,562546,0,1,2013
October 4-10 2013,Parkland,http://www.boxofficemojo.com/movies/?page=weekly&id=parkland.htm,435577,257,435577,0,1,2013
October 4-10 2013,Planes,http://www.boxofficemojo.com/movies/?page=weekly&id=planes.htm,333066,376,88210381,50,9,2013
