weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
September 6-12 2013,Riddick,http://www.boxofficemojo.com/movies/?page=weekly&id=riddick.htm,24266375,3107,24266375,38,1,2013
September 6-12 2013,Lee Daniels' The Butler,http://www.boxofficemojo.com/movies/?page=weekly&id=butler.htm,11457741,3330,94459118,30,4,2013
September 6-12 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,10268192,3445,126187096,37,5,2013
September 6-12 2013,Instructions Not Included,http://www.boxofficemojo.com/movies/?page=weekly&id=instructionsnotincluded.htm,10119094,717,22330698,0,2,2013
September 6-12 2013,Planes,http://www.boxofficemojo.com/movies/?page=weekly&id=planes.htm,4913472,3033,79917656,50,5,2013
September 6-12 2013,One Direction: This is Us,http://www.boxofficemojo.com/movies/?page=weekly&id=onedirection.htm,4596692,2735,24487202,10,2,2013
September 6-12 2013,Elysium,http://www.boxofficemojo.com/movies/?page=weekly&id=elysium.htm,4360348,2241,86337615,115,5,2013
September 6-12 2013,Blue Jasmine,http://www.boxofficemojo.com/movies/?page=weekly&id=bluejasmine.htm,3325668,1069,26086554,0,7,2013
September 6-12 2013,The World's End,http://www.boxofficemojo.com/movies/?page=weekly&id=worldsend.htm,3194999,1520,22664616,20,3,2013
September 6-12 2013,The Mortal Instruments: City of Bones,http://www.boxofficemojo.com/movies/?page=weekly&id=mortalinstruments.htm,2870402,2519,28514606,60,3,2013
September 6-12 2013,Percy Jackson: Sea of Monsters,http://www.boxofficemojo.com/movies/?page=weekly&id=percyjackson2.htm,2862673,2045,60210439,90,5,2013
September 6-12 2013,Getaway (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=getaway2013.htm,2808134,2135,9296813,18,2,2013
September 6-12 2013,This is the End,http://www.boxofficemojo.com/movies/?page=weekly&id=rogenhilluntitled.htm,2695315,2161,99641402,32,13,2013
September 6-12 2013,You're Next,http://www.boxofficemojo.com/movies/?page=weekly&id=yourenext.htm,2054429,1902,17376920,0,3,2013
September 6-12 2013,2 Guns,http://www.boxofficemojo.com/movies/?page=weekly&id=2guns.htm,1910615,1165,72578400,61,6,2013
September 6-12 2013,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,1732510,1050,357831320,76,10,2013
September 6-12 2013,The Grandmaster,http://www.boxofficemojo.com/movies/?page=weekly&id=grandmasters.htm,1426070,804,5357500,0,3,2013
September 6-12 2013,Closed Circuit,http://www.boxofficemojo.com/movies/?page=weekly&id=closedcircuit.htm,1293186,870,5378700,0,2,2013
September 6-12 2013,The Smurfs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=smurfs2.htm,1043594,949,68318793,105,6,2013
September 6-12 2013,The Wolverine,http://www.boxofficemojo.com/movies/?page=weekly&id=wolverine2.htm,998325,698,129660864,120,7,2013
September 6-12 2013,The Conjuring,http://www.boxofficemojo.com/movies/?page=weekly&id=conjuring.htm,939886,716,135403544,20,8,2013
September 6-12 2013,The Spectacular Now,http://www.boxofficemojo.com/movies/?page=weekly&id=spectacularnow.htm,939256,415,5032772,0,6,2013
September 6-12 2013,Kick-Ass 2,http://www.boxofficemojo.com/movies/?page=weekly&id=kickass2.htm,847365,662,28306400,28,4,2013
September 6-12 2013,The Ultimate Life,http://www.boxofficemojo.com/movies/?page=weekly&id=ultimatelife.htm,829463,412,829463,0,1,2013
September 6-12 2013,The Way, Way Back,http://www.boxofficemojo.com/movies/?page=weekly&id=waywayback.htm,610209,550,20560137,0,10,2013
September 6-12 2013,World War Z,http://www.boxofficemojo.com/movies/?page=weekly&id=worldwarz.htm,598296,374,201518833,190,12,2013
September 6-12 2013,Jobs,http://www.boxofficemojo.com/movies/?page=weekly&id=jobs.htm,574914,502,15690026,12,4,2013
