weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
October 11-17 2013,Gravity,http://www.boxofficemojo.com/movies/?page=weekly&id=gravity.htm,60401211,3660,139536130,100,2,2013
October 11-17 2013,Captain Phillips,http://www.boxofficemojo.com/movies/?page=weekly&id=captainphillips.htm,36030235,3020,36030235,55,1,2013
October 11-17 2013,Cloudy with a Chance of Meatballs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=cloudy2.htm,19200091,3874,83036768,78,3,2013
October 11-17 2013,Runner Runner,http://www.boxofficemojo.com/movies/?page=weekly&id=runnerrunner.htm,5522360,3026,15911318,30,2,2013
October 11-17 2013,Prisoners,http://www.boxofficemojo.com/movies/?page=weekly&id=prisoners.htm,5239279,2855,55194158,46,4,2013
October 11-17 2013,Machete Kills,http://www.boxofficemojo.com/movies/?page=weekly&id=machete2.htm,5199239,2538,5199239,0,1,2013
October 11-17 2013,Insidious Chapter 2,http://www.boxofficemojo.com/movies/?page=weekly&id=insidious2.htm,3593224,2156,79390241,5,5,2013
October 11-17 2013,Rush (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=rush2013.htm,3524910,2130,23362179,38,4,2013
October 11-17 2013,Don Jon,http://www.boxofficemojo.com/movies/?page=weekly&id=donjon.htm,3496017,1996,21297167,6,3,2013
October 11-17 2013,Enough Said,http://www.boxofficemojo.com/movies/?page=weekly&id=enoughsaid.htm,2735848,606,8987447,0,4,2013
October 11-17 2013,Baggage Claim,http://www.boxofficemojo.com/movies/?page=weekly&id=baggageclaim.htm,2703177,1320,18900655,0,3,2013
October 11-17 2013,Pulling Strings,http://www.boxofficemojo.com/movies/?page=weekly&id=pullingstrings.htm,1581318,428,4555786,0,2,2013
October 11-17 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,1542274,1150,146966161,37,10,2013
October 11-17 2013,Instructions Not Included,http://www.boxofficemojo.com/movies/?page=weekly&id=instructionsnotincluded.htm,1329062,711,43003550,0,7,2013
October 11-17 2013,Lee Daniels' The Butler,http://www.boxofficemojo.com/movies/?page=weekly&id=butler.htm,977456,980,113895227,30,9,2013
