weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
March 22-28 2013,The Croods,http://www.boxofficemojo.com/movies/?page=weekly&id=croods.htm,62182077,4046,62182077,135,1,2013
March 22-28 2013,Olympus Has Fallen,http://www.boxofficemojo.com/movies/?page=weekly&id=olympushasfallen.htm,40742669,3098,40742669,70,1,2013
March 22-28 2013,Oz The Great and Powerful,http://www.boxofficemojo.com/movies/?page=weekly&id=oz.htm,31144267,3805,186672400,215,3,2013
March 22-28 2013,The Call,http://www.boxofficemojo.com/movies/?page=weekly&id=call2013.htm,12476095,2507,34680216,13,2,2013
March 22-28 2013,G.I. Joe: Retaliation,http://www.boxofficemojo.com/movies/?page=weekly&id=gijoe2.htm,10506875,3719,10506875,130,-,2013
March 22-28 2013,Admission,http://www.boxofficemojo.com/movies/?page=weekly&id=admission.htm,8508878,2160,8508878,13,1,2013
March 22-28 2013,Spring Breakers,http://www.boxofficemojo.com/movies/?page=weekly&id=springbreakers.htm,6893429,1104,7300288,5,2,2013
March 22-28 2013,The Incredible Burt Wonderstone,http://www.boxofficemojo.com/movies/?page=weekly&id=burtwonderstone.htm,6196191,3160,19286621,30,2,2013
March 22-28 2013,Jack the Giant Slayer,http://www.boxofficemojo.com/movies/?page=weekly&id=jackthegiantkiller.htm,4293039,2560,60380322,195,4,2013
March 22-28 2013,Identity Thief,http://www.boxofficemojo.com/movies/?page=weekly&id=identitythief.htm,3635945,1681,128817890,35,7,2013
March 22-28 2013,Snitch,http://www.boxofficemojo.com/movies/?page=weekly&id=snitch.htm,2496853,1807,40909402,0,5,2013
March 22-28 2013,Silver Linings Playbook,http://www.boxofficemojo.com/movies/?page=weekly&id=silverliningsplaybook.htm,2233093,1044,127811636,21,19,2013
March 22-28 2013,Safe Haven,http://www.boxofficemojo.com/movies/?page=weekly&id=safehaven.htm,1643537,1279,69423682,28,6,2013
March 22-28 2013,21 and Over,http://www.boxofficemojo.com/movies/?page=weekly&id=21andover.htm,1513992,1134,24649312,13,4,2013
March 22-28 2013,Life of Pi,http://www.boxofficemojo.com/movies/?page=weekly&id=lifeofpi.htm,1067354,419,122893865,120,18,2013
March 22-28 2013,Quartet,http://www.boxofficemojo.com/movies/?page=weekly&id=quartet.htm,881164,425,16217393,0,11,2013
March 22-28 2013,Escape From Planet Earth,http://www.boxofficemojo.com/movies/?page=weekly&id=escapefromplanetearth.htm,814602,1494,53691979,40,6,2013
March 22-28 2013,Stoker,http://www.boxofficemojo.com/movies/?page=weekly&id=stoker.htm,527676,275,1299001,12,4,2013
March 22-28 2013,A Good Day to Die Hard,http://www.boxofficemojo.com/movies/?page=weekly&id=diehard5.htm,454927,290,66392109,92,6,2013
March 22-28 2013,Dead Man Down,http://www.boxofficemojo.com/movies/?page=weekly&id=deadmandown.htm,430122,612,10735990,0,3,2013
March 22-28 2013,Emperor,http://www.boxofficemojo.com/movies/?page=weekly&id=emperor.htm,424860,237,2741829,0,3,2013
March 22-28 2013,Django Unchained,http://www.boxofficemojo.com/movies/?page=weekly&id=djangounchained.htm,418997,296,162142813,100,13,2013
March 22-28 2013,The Last Exorcism Part II,http://www.boxofficemojo.com/movies/?page=weekly&id=lastexorcism2.htm,403277,455,15092183,5,4,2013
March 22-28 2013,Side Effects (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=bitterpill.htm,396393,225,31107504,0,7,2013
March 22-28 2013,Lincoln,http://www.boxofficemojo.com/movies/?page=weekly&id=lincoln.htm,350220,292,181942000,65,20,2013
March 22-28 2013,Warm Bodies,http://www.boxofficemojo.com/movies/?page=weekly&id=warmbodies.htm,342336,299,65123274,35,8,2013
March 22-28 2013,Wreck-It Ralph,http://www.boxofficemojo.com/movies/?page=weekly&id=rebootralph.htm,317904,238,188863210,165,21,2013
March 22-28 2013,Hansel and Gretel: Witch Hunters,http://www.boxofficemojo.com/movies/?page=weekly&id=hanselandgretelwitchhunters.htm,313411,209,55037244,50,9,2013
March 22-28 2013,No (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=no2013.htm,286315,60,1078750,0,6,2013
March 22-28 2013,The Hobbit: An Unexpected Journey,http://www.boxofficemojo.com/movies/?page=weekly&id=hobbit.htm,262192,235,302779925,0,15,2013
March 22-28 2013,The Gatekeepers,http://www.boxofficemojo.com/movies/?page=weekly&id=gatekeepers.htm,249318,94,1668012,0,8,2013
March 22-28 2013,Dark Skies,http://www.boxofficemojo.com/movies/?page=weekly&id=darkskies.htm,244629,205,17074114,3.5,5,2013
March 22-28 2013,InAPPropriate Comedy,http://www.boxofficemojo.com/movies/?page=weekly&id=inappropriatecomedy.htm,228004,275,228004,0,1,2013
March 22-28 2013,Hubble 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=hubble3d.htm,221891,25,36836297,0,158,2013
March 22-28 2013,Argo,http://www.boxofficemojo.com/movies/?page=weekly&id=argo.htm,211874,185,135588709,44.5,24,2013
March 22-28 2013,New World (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=newworld2013.htm,211693,24,211693,0,1,2013
March 22-28 2013,Parental Guidance,http://www.boxofficemojo.com/movies/?page=weekly&id=parentalguidance.htm,209222,185,76809819,25,13,2013
March 22-28 2013,Zero Dark Thirty,http://www.boxofficemojo.com/movies/?page=weekly&id=binladen.htm,199017,215,95675551,40,14,2013
March 22-28 2013,Ginger & Rosa,http://www.boxofficemojo.com/movies/?page=weekly&id=gingerandrosa.htm,188976,34,209057,0,2,2013
March 22-28 2013,Rise of the Guardians,http://www.boxofficemojo.com/movies/?page=weekly&id=guardians.htm,158670,162,103230394,145,18,2013
March 22-28 2013,On the Road,http://www.boxofficemojo.com/movies/?page=weekly&id=ontheroad.htm,155516,42,309766,0,6,2013
March 22-28 2013,Beautiful Creatures (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=beautifulcreatures13.htm,151701,188,19357618,60,6,2013
March 22-28 2013,Les Miserables (2012),http://www.boxofficemojo.com/movies/?page=weekly&id=lesmiserables2012.htm,142570,130,148720925,61,13,2013
March 22-28 2013,Mama,http://www.boxofficemojo.com/movies/?page=weekly&id=mama.htm,137170,130,71514415,15,10,2013
March 22-28 2013,To the Arctic (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=tothearctic.htm,116821,52,11853575,0,49,2013
March 22-28 2013,The Impossible,http://www.boxofficemojo.com/movies/?page=weekly&id=impossible.htm,113996,123,18773451,0,14,2013
March 22-28 2013,Lore,http://www.boxofficemojo.com/movies/?page=weekly&id=lore.htm,102234,49,528193,0,7,2013
March 22-28 2013,From Up on Poppy Hill,http://www.boxofficemojo.com/movies/?page=weekly&id=fromuponpoppyhill.htm,96211,6,164697,0,2,2013
March 22-28 2013,Girl Rising,http://www.boxofficemojo.com/movies/?page=weekly&id=girlrising.htm,87094,41,514980,0,3,2013
March 22-28 2013,Amour,http://www.boxofficemojo.com/movies/?page=weekly&id=amour.htm,83972,90,6620504,8.9,14,2013
March 22-28 2013,Born to Be Wild (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=borntobewildimax.htm,82119,30,22317922,0,103,2013
March 22-28 2013,Space Station 3-D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=spacestation3dimax.htm,81356,5,87477392,0,571,2013
March 22-28 2013,Monsters, Inc. (3D),http://www.boxofficemojo.com/movies/?page=weekly&id=monstersinc3d.htm,79032,49,33793205,0,14,2013
March 22-28 2013,Burn,http://www.boxofficemojo.com/movies/?page=weekly&id=burn.htm,62004,9,586881,0,21,2013
March 22-28 2013,The Sapphires,http://www.boxofficemojo.com/movies/?page=weekly&id=sapphires.htm,54589,4,54589,0,1,2013
March 22-28 2013,Upside Down,http://www.boxofficemojo.com/movies/?page=weekly&id=upsidedown.htm,41052,39,83050,0,2,2013
March 22-28 2013,Gangster Squad,http://www.boxofficemojo.com/movies/?page=weekly&id=gangstersquad.htm,39400,50,45977660,60,11,2013
March 22-28 2013,Searching for Sugar Man,http://www.boxofficemojo.com/movies/?page=weekly&id=searchingforsugarman.htm,37120,25,3573178,0,35,2013
March 22-28 2013,Hava Nagila (The Movie),http://www.boxofficemojo.com/movies/?page=weekly&id=havanagila.htm,35842,21,203660,0,4,2013
March 22-28 2013,The Lost Medallion,http://www.boxofficemojo.com/movies/?page=weekly&id=lostmedallion.htm,35134,28,360460,0,4,2013
March 22-28 2013,Bless Me Ultima,http://www.boxofficemojo.com/movies/?page=weekly&id=blessmeultima.htm,34487,21,1533384,0,5,2013
March 22-28 2013,Under the Sea 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=underthesea3d.htm,34328,11,31259296,0,215,2013
March 22-28 2013,Parker,http://www.boxofficemojo.com/movies/?page=weekly&id=parker.htm,33252,55,17596744,35,9,2013
March 22-28 2013,West of Memphis,http://www.boxofficemojo.com/movies/?page=weekly&id=westofmemphis.htm,32157,40,282622,0,13,2013
March 22-28 2013,Like Someone in Love,http://www.boxofficemojo.com/movies/?page=weekly&id=likesomeoneinlove.htm,31558,23,189767,0,6,2013
March 22-28 2013,Gimme the Loot,http://www.boxofficemojo.com/movies/?page=weekly&id=gimmetheloot.htm,28489,1,28489,0,1,2013
March 22-28 2013,Camp (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=camp2013.htm,26843,17,100559,0,5,2013
March 22-28 2013,A Royal Affair,http://www.boxofficemojo.com/movies/?page=weekly&id=aroyalaffair.htm,24598,12,1483808,0,20,2013
March 22-28 2013,Starbuck (U.S. only),http://www.boxofficemojo.com/movies/?page=weekly&id=starbuck.htm,22833,3,22833,0,1,2013
March 22-28 2013,Hyde Park on Hudson,http://www.boxofficemojo.com/movies/?page=weekly&id=hydepark.htm,22525,20,6376145,0,16,2013
March 22-28 2013,56 Up,http://www.boxofficemojo.com/movies/?page=weekly&id=56up.htm,21573,21,634070,0,12,2013
March 22-28 2013,Kai Po Che,http://www.boxofficemojo.com/movies/?page=weekly&id=kaipoche.htm,21120,18,1109728,0,5,2013
March 22-28 2013,Koch,http://www.boxofficemojo.com/movies/?page=weekly&id=koch.htm,20649,16,298657,0,8,2013
March 22-28 2013,Happy People: A Year in the Taiga,http://www.boxofficemojo.com/movies/?page=weekly&id=happypeople.htm,20018,16,287235,0,9,2013
March 22-28 2013,The Iran Job,http://www.boxofficemojo.com/movies/?page=weekly&id=iranjob.htm,18703,0,18703,0,-29,2013
March 22-28 2013,My Brother The Devil,http://www.boxofficemojo.com/movies/?page=weekly&id=mybrotherthedevil.htm,16250,2,16250,0,1,2013
March 22-28 2013,Beyond the Hills,http://www.boxofficemojo.com/movies/?page=weekly&id=beyondthehills.htm,14446,7,72764,0,3,2013
March 22-28 2013,The Waiting Room,http://www.boxofficemojo.com/movies/?page=weekly&id=waitingroom.htm,13229,8,238842,0,26,2013
March 22-28 2013,Rust and Bone,http://www.boxofficemojo.com/movies/?page=weekly&id=rustandbone.htm,12755,17,2060565,0,18,2013
March 22-28 2013,Deep Sea 3D (IMAX),http://www.boxofficemojo.com/movies/?page=weekly&id=deepsea3d.htm,12558,5,45502259,0,369,2013
March 22-28 2013,War Witch,http://www.boxofficemojo.com/movies/?page=weekly&id=warwitch.htm,12281,11,42979,0,4,2013
March 22-28 2013,Chasing Ice,http://www.boxofficemojo.com/movies/?page=weekly&id=chasingice.htm,12216,8,1292299,0,20,2013
March 22-28 2013,Reality (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=reality2013.htm,11410,2,21426,0,2,2013
March 22-28 2013,The We and the I,http://www.boxofficemojo.com/movies/?page=weekly&id=weandthei.htm,11272,7,33687,0,3,2013
March 22-28 2013,A Resurrection,http://www.boxofficemojo.com/movies/?page=weekly&id=aresurrection.htm,10730,17,10730,0,1,2013
March 22-28 2013,Hunky Dory,http://www.boxofficemojo.com/movies/?page=weekly&id=hunkydory.htm,10141,11,10141,0,1,2013
March 22-28 2013,Le Pont du Nord (2013 re-release),http://www.boxofficemojo.com/movies/?page=weekly&id=lepontdunord.htm,9730,1,10542,0,1,2013
March 22-28 2013,Dorfman in Love,http://www.boxofficemojo.com/movies/?page=weekly&id=dorfmaninlove.htm,9054,9,9054,0,1,2013
March 22-28 2013,Any Day Now,http://www.boxofficemojo.com/movies/?page=weekly&id=anydaynow.htm,8792,7,197833,0,15,2013
March 22-28 2013,A Place at the Table,http://www.boxofficemojo.com/movies/?page=weekly&id=aplaceatthetable.htm,8515,17,196639,0,4,2013
March 22-28 2013,Somebody Up There Likes Me,http://www.boxofficemojo.com/movies/?page=weekly&id=somebodyupthere13.htm,8228,2,59530,0,3,2013
March 22-28 2013,The Silence,http://www.boxofficemojo.com/movies/?page=weekly&id=silence2013.htm,8209,4,27456,0,3,2013
March 22-28 2013,Leviathan (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=leviathan2013.htm,7710,2,39980,0,4,2013
March 22-28 2013,John Dies at the End,http://www.boxofficemojo.com/movies/?page=weekly&id=johndiesattheend.htm,6812,10,137407,0,9,2013
March 22-28 2013,Rangrezz,http://www.boxofficemojo.com/movies/?page=weekly&id=rangrezz.htm,5837,11,5837,0,1,2013
March 22-28 2013,Leonie,http://www.boxofficemojo.com/movies/?page=weekly&id=leonie.htm,5698,3,6367,0,2,2013
March 22-28 2013,Broken City,http://www.boxofficemojo.com/movies/?page=weekly&id=brokencity.htm,5526,11,19684797,35,10,2013
March 22-28 2013,Fritz Lang's 'M' (2013 re-release),http://www.boxofficemojo.com/movies/?page=weekly&id=m2013.htm,5362,1,16145,0,2,2013
March 22-28 2013,Harvest of Empire,http://www.boxofficemojo.com/movies/?page=weekly&id=harvestofempire.htm,5059,1,65169,0,26,2013
