weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
December 13-19 2013,The Hobbit: The Desolation of Smaug,http://www.boxofficemojo.com/movies/?page=weekly&id=hobbit2.htm,96045417,3903,96045417,0,1,2013
December 13-19 2013,Frozen,http://www.boxofficemojo.com/movies/?page=weekly&id=frozen2013.htm,30187937,3716,172392010,150,4,2013
December 13-19 2013,Tyler Perry's A Madea Christmas,http://www.boxofficemojo.com/movies/?page=weekly&id=madeachristmas.htm,19770277,2194,19770277,0,1,2013
December 13-19 2013,The Hunger Games: Catching Fire,http://www.boxofficemojo.com/movies/?page=weekly&id=catchingfire.htm,19121799,3563,362953796,130,4,2013
December 13-19 2013,Anchorman 2: The Legend Continues,http://www.boxofficemojo.com/movies/?page=weekly&id=anchorman2.htm,13223643,3450,13223643,50,-,2013
December 13-19 2013,Thor: The Dark World,http://www.boxofficemojo.com/movies/?page=weekly&id=thor2.htm,4012419,1923,199438108,170,6,2013
December 13-19 2013,Out of the Furnace,http://www.boxofficemojo.com/movies/?page=weekly&id=outofthefurnace.htm,3452538,2101,10601140,22,2,2013
December 13-19 2013,Philomena,http://www.boxofficemojo.com/movies/?page=weekly&id=philomena.htm,2848574,835,12111552,12,4,2013
December 13-19 2013,Delivery Man,http://www.boxofficemojo.com/movies/?page=weekly&id=deliveryman.htm,2670202,1502,28792886,26,4,2013
December 13-19 2013,The Book Thief,http://www.boxofficemojo.com/movies/?page=weekly&id=bookthief.htm,2641821,987,15843589,0,6,2013
December 13-19 2013,Homefront,http://www.boxofficemojo.com/movies/?page=weekly&id=homefront.htm,2456236,2103,19257055,22,3,2013
December 13-19 2013,Dallas Buyers Club,http://www.boxofficemojo.com/movies/?page=weekly&id=dallasbuyersclub.htm,1646411,478,14773276,5,7,2013
December 13-19 2013,The Best Man Holiday,http://www.boxofficemojo.com/movies/?page=weekly&id=bestman2.htm,1437310,670,69401315,17,5,2013
December 13-19 2013,Nebraska,http://www.boxofficemojo.com/movies/?page=weekly&id=nebraska.htm,1338699,250,3805366,12,5,2013
December 13-19 2013,American Hustle,http://www.boxofficemojo.com/movies/?page=weekly&id=davido2013.htm,1113368,6,1113368,40,1,2013
December 13-19 2013,Gravity,http://www.boxofficemojo.com/movies/?page=weekly&id=gravity.htm,1102177,503,253135785,100,11,2013
December 13-19 2013,12 Years a Slave,http://www.boxofficemojo.com/movies/?page=weekly&id=twelveyearsaslave.htm,1078538,414,36710226,20,9,2013
December 13-19 2013,Last Vegas,http://www.boxofficemojo.com/movies/?page=weekly&id=lastvegas.htm,842459,726,61993681,28,7,2013
December 13-19 2013,Saving Mr. Banks,http://www.boxofficemojo.com/movies/?page=weekly&id=savingmrbanks.htm,625486,15,625486,35,1,2013
December 13-19 2013,Inside Llewyn Davis,http://www.boxofficemojo.com/movies/?page=weekly&id=insidellewyndavis.htm,497618,15,1051150,0,2,2013
December 13-19 2013,Captain Phillips,http://www.boxofficemojo.com/movies/?page=weekly&id=captainphillips.htm,420394,323,104147252,55,10,2013
December 13-19 2013,Jackass Presents: Bad Grandpa,http://www.boxofficemojo.com/movies/?page=weekly&id=badgrandpa.htm,361294,456,100656886,15,8,2013
