weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
December 6-12 2013,Frozen,http://www.boxofficemojo.com/movies/?page=weekly&id=frozen2013.htm,39566637,3742,142204073,150,3,2013
December 6-12 2013,The Hunger Games: Catching Fire,http://www.boxofficemojo.com/movies/?page=weekly&id=catchingfire.htm,34167041,4163,343831997,130,3,2013
December 6-12 2013,Out of the Furnace,http://www.boxofficemojo.com/movies/?page=weekly&id=outofthefurnace.htm,7121386,2101,7148462,22,1,2013
December 6-12 2013,Thor: The Dark World,http://www.boxofficemojo.com/movies/?page=weekly&id=thor2.htm,6526047,3074,195425689,170,5,2013
December 6-12 2013,Delivery Man,http://www.boxofficemojo.com/movies/?page=weekly&id=deliveryman.htm,5097902,2905,26122684,26,3,2013
December 6-12 2013,Homefront,http://www.boxofficemojo.com/movies/?page=weekly&id=homefront.htm,4900479,2570,16800869,22,2,2013
December 6-12 2013,The Book Thief,http://www.boxofficemojo.com/movies/?page=weekly&id=bookthief.htm,3826713,1316,13201768,0,5,2013
December 6-12 2013,The Best Man Holiday,http://www.boxofficemojo.com/movies/?page=weekly&id=bestman2.htm,3398390,1577,67964005,17,4,2013
December 6-12 2013,Philomena,http://www.boxofficemojo.com/movies/?page=weekly&id=philomena.htm,3290343,835,9262978,12,3,2013
December 6-12 2013,Dallas Buyers Club,http://www.boxofficemojo.com/movies/?page=weekly&id=dallasbuyersclub.htm,2178541,734,13126865,5,6,2013
December 6-12 2013,Last Vegas,http://www.boxofficemojo.com/movies/?page=weekly&id=lastvegas.htm,1829614,1539,61151222,28,6,2013
December 6-12 2013,12 Years a Slave,http://www.boxofficemojo.com/movies/?page=weekly&id=twelveyearsaslave.htm,1759568,1082,35631688,20,8,2013
December 6-12 2013,Gravity,http://www.boxofficemojo.com/movies/?page=weekly&id=gravity.htm,1758354,900,252033608,100,10,2013
December 6-12 2013,Black Nativity,http://www.boxofficemojo.com/movies/?page=weekly&id=blacknativity.htm,1356483,1525,6734486,17.5,2,2013
December 6-12 2013,Jackass Presents: Bad Grandpa,http://www.boxofficemojo.com/movies/?page=weekly&id=badgrandpa.htm,1095057,1157,100295592,15,7,2013
December 6-12 2013,Nebraska,http://www.boxofficemojo.com/movies/?page=weekly&id=nebraska.htm,749189,113,2465999,12,4,2013
December 6-12 2013,Captain Phillips,http://www.boxofficemojo.com/movies/?page=weekly&id=captainphillips.htm,736481,640,103726858,55,9,2013
